平成２８年　社会医療診療行為別統計　平成２８年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第　７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,　　膵疾患,72107 ,167258 ,72107 ,1968625 ,416055743 ,66755 ,99500 ,12116796 ,42297 ,63918 ,12739166 ,3078 ,4199 ,7757249 ,44765 ,376315 ,44092472 ,15574 ,34214 ,24811823 ,52324 ,1263704 ,25519055 ,6153 ,20967 ,13425466 ,1017 ,18484 ,3820636 ,534 ,1084 ,356770 ,2079 ,10896 ,6614080 ,1436 ,2073 ,31237047 ,439 ,834 ,1300904 ,22 ,113 ,110000 ,1536 ,2778 ,1393012 ,5396 ,19658 ,41956583 ,4655 ,49847 ,188698538 ,5094 ,124018 ,84735914 
,　　その他の消化器系の疾患,2232724 ,4173780 ,2232724 ,45506165 ,7726647689 ,2020217 ,2886995 ,385633141 ,1148494 ,1620694 ,311401911 ,59575 ,103517 ,201707124 ,798296 ,5165487 ,774029181 ,229569 ,615623 ,243241309 ,1770403 ,32179984 ,549855083 ,142738 ,418932 ,573657865 ,27456 ,513861 ,107044201 ,37402 ,64188 ,21378044 ,151222 ,508243 ,183909315 ,66004 ,85494 ,733706991 ,30272 ,57958 ,154167111 ,1044 ,6586 ,13736250 ,89906 ,195464 ,114724974 ,119046 ,562655 ,1561741950 ,58402 ,519834 ,1796589177 ,111026 ,2281079 ,1463171818 
,ⅩⅡ　皮膚及び皮下組織の疾患,6286273 ,9238806 ,6286273 ,59164983 ,6011501710 ,5979384 ,8223117 ,1417184354 ,2306311 ,2937669 ,426044137 ,72448 ,148339 ,236571291 ,773903 ,3991190 ,452530118 ,104985 ,281338 ,92457400 ,5610594 ,39132800 ,964863263 ,221770 ,531502 ,424221767 ,29996 ,461498 ,91804121 ,17736 ,42492 ,14274118 ,1352206 ,2623673 ,477917080 ,76176 ,81406 ,178603734 ,21421 ,42655 ,22892357 ,1258 ,13930 ,22429914 ,25587 ,51725 ,26227000 ,32556 ,473942 ,783063706 ,11916 ,127363 ,380119472 ,32315 ,1694285 ,1041059788 
,　　皮膚及び皮下組織の感染症,374576 ,738682 ,374576 ,4015765 ,694057702 ,351364 ,595453 ,103166976 ,123833 ,171996 ,27376707 ,6206 ,12999 ,20682829 ,70433 ,454106 ,45207579 ,21810 ,53532 ,15940872 ,324602 ,2211870 ,61350800 ,19959 ,59119 ,38861129 ,3996 ,57670 ,11793341 ,1176 ,3423 ,1108286 ,113684 ,244757 ,40930561 ,20660 ,21820 ,28898234 ,2408 ,4279 ,4405861 ,43 ,316 ,556310 ,2971 ,5760 ,2924479 ,8882 ,61982 ,114130106 ,6069 ,56652 ,176709812 ,9150 ,323950 ,209671826 
,　　皮膚炎及び湿疹,3494412 ,4799135 ,3494412 ,31513868 ,2618751396 ,3315744 ,4390280 ,793602505 ,1325186 ,1681395 ,240595701 ,31315 ,62609 ,97610384 ,415567 ,1894477 ,226223050 ,39537 ,108004 ,34556385 ,3203640 ,21460561 ,521423315 ,104492 ,249116 ,147649743 ,11884 ,163368 ,32113559 ,9047 ,21403 ,7228488 ,695993 ,1277036 ,202019248 ,10127 ,10450 ,41907760 ,10722 ,23401 ,7188207 ,312 ,3281 ,5597906 ,8367 ,17375 ,7316979 ,7923 ,143060 ,229469695 ,902 ,7911 ,24247382 ,7561 ,419084 ,259147429 
,　　その他の皮膚及び皮下組織の疾患,2417285 ,3700989 ,2417285 ,23635350 ,2698692612 ,2312276 ,3237384 ,520414873 ,857292 ,1084278 ,158071729 ,34927 ,72731 ,118278078 ,287903 ,1642607 ,181099489 ,43638 ,119802 ,41960143 ,2082352 ,15460369 ,382089148 ,97319 ,223267 ,237710895 ,14116 ,240460 ,47897221 ,7513 ,17666 ,5937344 ,542529 ,1101880 ,234967271 ,45389 ,49136 ,107797740 ,8291 ,14975 ,11298289 ,903 ,10333 ,16275698 ,14249 ,28590 ,15985542 ,15751 ,268900 ,439463905 ,4945 ,62800 ,179162278 ,15604 ,951251 ,572240533 
,ⅩⅢ　筋骨格系及び結合組織の疾患,7773730 ,19486356 ,7773730 ,133905734 ,16459217544 ,7579438 ,17549781 ,1897057822 ,3013955 ,4034579 ,530377327 ,131935 ,216155 ,450796488 ,1348659 ,9971681 ,978840102 ,2134398 ,6167759 ,1431596247 ,6069263 ,74969983 ,1494526394 ,1695641 ,4392111 ,1491361131 ,863798 ,6522558 ,1197571261 ,34576 ,62292 ,20924996 ,1802821 ,7041233 ,593041507 ,92681 ,89024 ,1990699101 ,562456 ,1035970 ,498093443 ,590 ,3502 ,6224114 ,16770 ,32671 ,13722412 ,105336 ,1193581 ,2047083360 ,51426 ,622190 ,1816714073 ,110063 ,5266871 ,3310804345 
,　　炎症性多発性関節障害,649766 ,1166756 ,649766 ,13825913 ,1605858942 ,635042 ,1045809 ,129380606 ,256929 ,339667 ,45741981 ,27976 ,36870 ,138131665 ,287229 ,2703341 ,235222425 ,159474 ,488702 ,86906831 ,570519 ,8388650 ,154709945 ,104916 ,226740 ,435630932 ,23142 ,209755 ,39588030 ,1794 ,3155 ,1056510 ,73609 ,233050 ,27310182 ,2873 ,3082 ,46610241 ,14152 ,26963 ,9994775 ,39 ,256 ,392236 ,1710 ,3272 ,1465446 ,7823 ,77541 ,131847678 ,3479 ,39010 ,121868465 ,7979 ,337366 ,214238281 
,　　関節症,1527197 ,4148479 ,1527197 ,24663150 ,3705003349 ,1489914 ,3743424 ,379817891 ,558310 ,750220 ,91285842 ,15542 ,27165 ,44324724 ,174475 ,1194530 ,117953551 ,408271 ,1242338 ,226108729 ,1157227 ,12158129 ,259363545 ,666456 ,1704096 ,356980134 ,213897 ,1727960 ,323713004 ,2746 ,5367 ,1866748 ,381694 ,1498085 ,104545760 ,20395 ,28397 ,862899289 ,101534 ,195735 ,131271782 ,97 ,300 ,358820 ,1806 ,3388 ,1429294 ,21754 ,221942 ,390558475 ,12366 ,161953 ,412524704 ,23282 ,1122656 ,719660605 
,　　脊椎障害（脊椎症を含む）,1622778 ,4932318 ,1622778 ,28937786 ,3632102720 ,1582970 ,4495189 ,437980126 ,595596 ,796647 ,96657348 ,20850 ,35263 ,55798652 ,205838 ,1351026 ,139166647 ,458751 ,1373675 ,392776003 ,1266560 ,15362324 ,317522761 ,284060 ,838681 ,198937857 ,218189 ,1694815 ,309840696 ,3144 ,5844 ,2043953 ,488090 ,2184606 ,141856476 ,19589 ,13446 ,492512347 ,188494 ,353788 ,166382943 ,71 ,432 ,709716 ,2533 ,4993 ,2094689 ,25154 ,279656 ,469647645 ,12486 ,147325 ,408172818 ,26478 ,1270147 ,801282970 
,　　椎間板障害,573273 ,1556069 ,573273 ,7702190 ,999202804 ,563812 ,1471867 ,161755610 ,194886 ,247986 ,29110168 ,2220 ,2796 ,5756952 ,42723 ,287092 ,28101356 ,216588 ,610136 ,195707258 ,414042 ,3500856 ,80768381 ,67700 ,191871 ,32674258 ,97152 ,501137 ,88903169 ,596 ,969 ,309555 ,196863 ,686472 ,37333981 ,6864 ,3602 ,101849009 ,67373 ,116439 ,62664866 ,7 ,34 ,90450 ,509 ,988 ,429248 ,6480 ,43397 ,75924236 ,3728 ,36518 ,97824058 ,6836 ,215153 ,140024404 
,　　頚腕症候群,191925 ,387406 ,191925 ,3294629 ,178901631 ,190465 ,382445 ,44947724 ,96945 ,132558 ,17965127 ,1808 ,2870 ,4829270 ,22877 ,122754 ,12211121 ,31789 ,87575 ,23396830 ,158170 ,2266525 ,36961648 ,19740 ,52134 ,7856765 ,11826 ,58684 ,9741352 ,3009 ,4508 ,1423557 ,42406 ,152729 ,8936585 ,1214 ,207 ,688678 ,15932 ,27684 ,4874114 ,2 ,5 ,63440 ,143 ,298 ,117736 ,204 ,3573 ,4633527 ,11 ,78 ,254336 ,206 ,10926 ,6538090 
,　　腰痛症及び坐骨神経痛,701374 ,1390106 ,701374 ,13218774 ,876244291 ,685009 ,1299983 ,159100724 ,356575 ,490099 ,67042611 ,13301 ,24598 ,37835480 ,104836 ,622953 ,61805770 ,147249 ,380489 ,88995786 ,601807 ,9371932 ,161878319 ,74540 ,207369 ,59053380 ,25412 ,161178 ,28407798 ,10215 ,18153 ,6162591 ,139593 ,478861 ,53708375 ,5233 ,2344 ,19704188 ,50777 ,87316 ,17007658 ,60 ,477 ,1230178 ,2337 ,4977 ,1719163 ,4802 ,63140 ,99213686 ,678 ,4868 ,13364755 ,4698 ,197083 ,123415647 
,　　その他の脊柱障害,240998 ,585753 ,240998 ,3374620 ,580542531 ,235976 ,538230 ,62851307 ,72833 ,95410 ,12192658 ,2395 ,3261 ,7760651 ,29626 ,204124 ,21652226 ,105016 ,297045 ,77416369 ,155532 ,1652419 ,34803461 ,30428 ,85067 ,21581833 ,31531 ,198448 ,36493273 ,584 ,1133 ,381950 ,57086 ,213418 ,16234215 ,2721 ,3263 ,156559357 ,19723 ,35478 ,28059354 ,21 ,107 ,183426 ,389 ,829 ,333143 ,3086 ,26028 ,46287932 ,1790 ,20311 ,57750910 ,3303 ,128644 ,83690796 
,　　肩の傷害〈損傷〉,480715 ,1324470 ,480715 ,7636104 ,595009918 ,474968 ,1289245 ,131803249 ,186384 ,248594 ,28689800 ,4231 ,6511 ,11582374 ,50985 ,285662 ,29184324 ,124551 ,349821 ,66738599 ,370552 ,3969471 ,80929990 ,151620 ,373574 ,71977110 ,97681 ,533703 ,90579257 ,2053 ,3650 ,1259038 ,116832 ,480104 ,32667586 ,3243 ,896 ,5509212 ,39429 ,73729 ,12458263 ,13 ,135 ,367770 ,410 ,863 ,376401 ,1007 ,19198 ,28576299 ,102 ,936 ,2310562 ,1001 ,60949 ,36297332 
,　　骨の密度及び構造の障害,611605 ,1259641 ,611605 ,11762276 ,1033637544 ,594691 ,1150392 ,115329786 ,251706 ,338134 ,46237038 ,21122 ,34633 ,57997916 ,169168 ,878737 ,101769408 ,97566 ,289517 ,62899612 ,530206 ,7965294 ,144673942 ,135218 ,331203 ,141325109 ,33825 ,275774 ,50239430 ,1497 ,3008 ,1001365 ,84826 ,348286 ,47022586 ,3731 ,3584 ,64621752 ,23805 ,46955 ,16880938 ,88 ,865 ,1410978 ,1819 ,3891 ,1250450 ,4874 ,61800 ,102720371 ,2191 ,30169 ,78256566 ,5024 ,269931 ,171649245 
,　　その他の筋骨格系及び結合組織の疾患,1174099 ,2735358 ,1174099 ,19490292 ,3252713814 ,1126591 ,2133197 ,274090799 ,443791 ,595264 ,95454754 ,22490 ,42188 ,86778804 ,260902 ,2321462 ,231773274 ,385143 ,1048461 ,210650230 ,844648 ,10334383 ,222914402 ,160963 ,381376 ,165343753 ,111143 ,1161104 ,220065252 ,8938 ,16505 ,5419729 ,221822 ,765622 ,123425761 ,26818 ,30203 ,239745028 ,41237 ,71883 ,48498750 ,192 ,891 ,1417100 ,5114 ,9172 ,4506842 ,30152 ,397306 ,697673511 ,14595 ,181022 ,624386899 ,31256 ,1654016 ,1014006975 
,ⅩⅣ　腎尿路生殖器系の疾患,2912960 ,6972837 ,2912960 ,61936441 ,13425923736 ,2764954 ,5633063 ,653868292 ,1050569 ,1584963 ,522544395 ,95185 ,132574 ,345751940 ,1931763 ,9890020 ,1133823513 ,412755 ,810258 ,314156556 ,2067648 ,37822326 ,782631035 ,280815 ,617998 ,419383397 ,31301 ,643336 ,131364582 ,15728 ,29910 ,8930592 ,462882 ,2873007 ,5298904497 ,54012 ,63897 ,659796228 ,24662 ,37721 ,92728797 ,661 ,4580 ,9409605 ,240109 ,503403 ,111959770 ,91526 ,839069 ,1514318002 ,49077 ,449452 ,1426052810 ,91651 ,3577350 ,2278441213 
,　　糸球体疾患及び腎尿細管間質性疾患,166341 ,440748 ,166341 ,4078181 ,1018794913 ,148518 ,224771 ,29454823 ,66265 ,99620 ,23461447 ,5981 ,8860 ,21198510 ,132231 ,1047346 ,98491874 ,27984 ,71696 ,29682396 ,113748 ,2189657 ,44974754 ,17470 ,55956 ,45542450 ,4170 ,82191 ,17430195 ,859 ,1887 ,563820 ,10165 ,58619 ,43983761 ,5329 ,7184 ,58534635 ,2038 ,3126 ,9538558 ,80 ,418 ,724237 ,5698 ,10034 ,3158704 ,17237 ,87977 ,178332710 ,13417 ,128795 ,413721635 ,17819 ,557971 ,369326139 
,　　腎不全,289457 ,2627161 ,289457 ,17413164 ,7941171701 ,256027 ,2036895 ,158445244 ,212450 ,490035 ,369799086 ,32855 ,42546 ,173082337 ,177805 ,1450934 ,142293179 ,147935 ,137434 ,53071481 ,241379 ,9902057 ,235186607 ,94145 ,130293 ,160697262 ,14106 ,274994 ,53325877 ,1142 ,3058 ,795885 ,180441 ,2327988 ,5153704851 ,16284 ,20659 ,232875451 ,3414 ,2801 ,5737658 ,180 ,451 ,471160 ,3310 ,6004 ,2434557 ,30122 ,431649 ,704898049 ,12844 ,154821 ,494346736 ,30451 ,1762984 ,1130267831 
,　　尿路結石症,131935 ,216604 ,131935 ,2156663 ,496163953 ,124031 ,169233 ,27566850 ,47779 ,66188 ,12237171 ,2041 ,2424 ,5438005 ,99793 ,565863 ,63145928 ,64158 ,180997 ,62076991 ,85291 ,1052300 ,19362326 ,11643 ,19055 ,11141734 ,827 ,14194 ,2989348 ,236 ,474 ,151730 ,8829 ,14115 ,5529985 ,6826 ,6853 ,104380615 ,3342 ,5175 ,16868176 ,20 ,210 ,446450 ,4974 ,9972 ,2231650 ,7509 ,25402 ,87643224 ,4388 ,24161 ,74953336 ,7586 ,118951 ,74209257 
,　　その他の腎尿路系の疾患,708951 ,1311713 ,708951 ,14328458 ,1693265468 ,674970 ,974610 ,140465118 ,287122 ,402084 ,62423895 ,38057 ,57729 ,97646611 ,521301 ,2706186 ,237898235 ,49084 ,134615 ,52642295 ,597689 ,9119033 ,177713123 ,42953 ,133669 ,93122412 ,9833 ,231250 ,48822654 ,4739 ,11657 ,3719002 ,44849 ,182694 ,55431192 ,4227 ,5941 ,47488142 ,4493 ,8191 ,8517741 ,167 ,1385 ,2949278 ,20956 ,42186 ,9233638 ,19180 ,240029 ,410268697 ,8008 ,77068 ,244638356 ,18448 ,853790 ,522760398 
,　　前立腺肥大（症）,482156 ,629635 ,482156 ,10370820 ,669715952 ,473635 ,597780 ,66556743 ,160588 ,200227 ,25329664 ,10955 ,14803 ,27211532 ,345339 ,1624916 ,151270579 ,24745 ,67044 ,31966605 ,434330 ,7702655 ,137757186 ,12461 ,24905 ,42241764 ,1279 ,26670 ,5806397 ,1137 ,2155 ,746175 ,17279 ,34241 ,10653589 ,3008 ,3460 ,50217490 ,3107 ,4932 ,10291063 ,90 ,1013 ,2841790 ,13116 ,25108 ,6586025 ,4768 ,24600 ,54432632 ,2170 ,16300 ,45806641 ,4927 ,107527 ,68768668 
,　　その他の男性生殖器の疾患,108473 ,153926 ,108473 ,1317651 ,159899456 ,104263 ,135847 ,24263421 ,27578 ,35106 ,5385734 ,974 ,1234 ,2836760 ,73297 ,332469 ,30862453 ,4446 ,11015 ,5045488 ,68859 ,751845 ,15450458 ,3580 ,6840 ,6388332 ,288 ,5172 ,1137813 ,222 ,393 ,127520 ,10289 ,13635 ,3850818 ,1115 ,1252 ,6054870 ,880 ,1268 ,3776853 ,12 ,130 ,331060 ,2080 ,3942 ,1041535 ,2439 ,5703 ,16126880 ,1884 ,11788 ,37219356 ,2523 ,42631 ,28089020 
,　　月経障害及び閉経周辺期障害,294587 ,436364 ,294587 ,4884559 ,243278116 ,291333 ,432982 ,59714207 ,92143 ,104264 ,6002765 ,529 ,595 ,1806023 ,85603 ,362189 ,62872424 ,3253 ,7897 ,3932371 ,222422 ,3741597 ,71429140 ,41049 ,129010 ,12033429 ,173 ,1523 ,312709 ,5889 ,8025 ,2179205 ,31117 ,40604 ,5182406 ,770 ,892 ,2706967 ,491 ,849 ,596009 ,15 ,58 ,61460 ,23932 ,51900 ,9074298 ,301 ,1400 ,2807104 ,170 ,756 ,2560697 ,282 ,5193 ,3349373 
,　　乳房及びその他の女性生殖器の疾患,731060 ,1156686 ,731060 ,7386945 ,1203634177 ,692177 ,1060945 ,147401886 ,156644 ,187439 ,17904633 ,3793 ,4383 ,16532162 ,496394 ,1800117 ,346988841 ,91150 ,199560 ,75738929 ,303930 ,3363182 ,80757441 ,57514 ,118270 ,48216014 ,625 ,7342 ,1539589 ,1504 ,2261 ,647255 ,159913 ,201111 ,20567895 ,16453 ,17656 ,157538058 ,6897 ,11379 ,37402739 ,97 ,915 ,1584170 ,166043 ,354257 ,78199363 ,9970 ,22309 ,59808706 ,6196 ,35763 ,112806053 ,9615 ,128303 ,81670527 
,ⅩⅤ　妊娠，分娩及び産じょく,275510 ,777994 ,275510 ,3468669 ,1691658462 ,166826 ,265688 ,36763310 ,87823 ,119934 ,19621119 ,3560 ,3496 ,6325817 ,189039 ,745964 ,146571259 ,10122 ,20289 ,4064831 ,143608 ,1706770 ,23873166 ,37525 ,101838 ,27681559 ,77 ,792 ,170143 ,460 ,751 ,208540 ,43389 ,64317 ,4898466 ,27203 ,32515 ,376397224 ,18415 ,33249 ,42295701 ,90 ,123 ,35418 ,18179 ,31673 ,12829354 ,45572 ,108194 ,274726035 ,28392 ,232364 ,715170841 ,44539 ,853384 ,541311307 
,　　流　　産,28150 ,55755 ,28150 ,293172 ,106336762 ,23100 ,44142 ,6133633 ,6298 ,8085 ,1138288 ,73 ,73 ,162523 ,21328 ,108441 ,19016647 ,1197 ,2325 ,698618 ,11557 ,84162 ,1450077 ,3442 ,3469 ,537267 ,2 ,22 ,5600 ,29 ,33 ,10920 ,3523 ,4299 ,229328 ,6410 ,6696 ,28279072 ,5311 ,6013 ,7567673 ,9 ,12 ,7038 ,7958 ,14022 ,6813768 ,5144 ,4016 ,8389953 ,2403 ,7346 ,25896203 ,2905 ,14319 ,9140444 
,　　妊娠高血圧症候群,5938 ,23536 ,5938 ,100802 ,93497942 ,2537 ,3405 ,482504 ,2354 ,3662 ,880793 ,63 ,62 ,114136 ,3096 ,20516 ,1969895 ,329 ,520 ,98120 ,3345 ,50881 ,549417 ,647 ,1995 ,615870 ,5 ,42 ,9101 ,20 ,49 ,13625 ,539 ,1057 ,105502 ,900 ,1086 ,20984682 ,707 ,1560 ,2165048 ,4 ,8 ,1760 ,375 ,452 ,262352 ,1901 ,3612 ,22830230 ,1487 ,11865 ,42414607 ,1961 ,39296 ,26360419 
,　　その他の妊娠，分娩及び産じょく,241422 ,698703 ,241422 ,3074695 ,1491823758 ,141189 ,218141 ,30147173 ,79171 ,108187 ,17602038 ,3424 ,3361 ,6049158 ,164615 ,617007 ,125584717 ,8596 ,17444 ,3268093 ,128706 ,1571727 ,21873672 ,33436 ,96374 ,26528422 ,70 ,728 ,155442 ,411 ,669 ,183995 ,39327 ,58961 ,4563636 ,19893 ,24733 ,327133470 ,12397 ,25676 ,32562980 ,77 ,103 ,26620 ,9846 ,17199 ,5753234 ,38527 ,100566 ,243505852 ,24502 ,213153 ,646860031 ,39673 ,799769 ,505810444 
,ⅩⅥ　周産期に発生した病態,65444 ,251772 ,65444 ,668217 ,1101896189 ,41337 ,53111 ,10839377 ,21865 ,28383 ,7633704 ,1532 ,2410 ,12093054 ,30152 ,151796 ,17797967 ,3627 ,7351 ,1878142 ,16314 ,173495 ,2602962 ,3128 ,9246 ,7622700 ,2960 ,19109 ,4584892 ,70 ,79 ,32695 ,9281 ,34677 ,9401707 ,2738 ,3878 ,33920015 ,615 ,1037 ,5850333 ,96 ,153 ,16830 ,243 ,349 ,177634 ,20371 ,42033 ,116172590 ,14316 ,138390 ,871235818 ,17000 ,327638 ,206576542 
,　　妊娠及び胎児発育に関連する障害,28425 ,123924 ,28425 ,325216 ,660340189 ,20343 ,26213 ,4343971 ,10258 ,13099 ,3069050 ,819 ,1042 ,7337545 ,12140 ,56619 ,8990587 ,1990 ,4070 ,1045839 ,8912 ,101890 ,1454391 ,1332 ,5194 ,5513074 ,1942 ,11879 ,2882050 ,45 ,53 ,22495 ,2334 ,9501 ,3204044 ,823 ,1446 ,14397905 ,184 ,321 ,2028294 ,76 ,123 ,13530 ,119 ,172 ,80972 ,5708 ,13432 ,48664378 ,5435 ,79301 ,557283511 ,5559 ,172530 ,109912658 
,　　その他の周産期に発生した病態,37019 ,127848 ,37019 ,343001 ,441556000 ,20994 ,26898 ,6495406 ,11607 ,15284 ,4564654 ,713 ,1368 ,4755509 ,18012 ,95177 ,8807380 ,1637 ,3281 ,832303 ,7402 ,71605 ,1148571 ,1796 ,4052 ,2109626 ,1018 ,7230 ,1702842 ,25 ,26 ,10200 ,6947 ,25176 ,6197663 ,1915 ,2432 ,19522110 ,431 ,716 ,3822039 ,20 ,30 ,3300 ,124 ,177 ,96662 ,14663 ,28601 ,67508212 ,8881 ,59089 ,313952307 ,11441 ,155108 ,96663884 
,ⅩⅦ　先天奇形，変形及び染色体異常,200016 ,385745 ,200016 ,2563614 ,1041491639 ,183218 ,260531 ,34353626 ,63998 ,82429 ,18635010 ,7112 ,11314 ,57008952 ,78086 ,425913 ,73108132 ,43041 ,104734 ,34616049 ,97682 ,1307257 ,35930696 ,6193 ,18137 ,13635675 ,16587 ,121528 ,27368487 ,1499 ,3410 ,1301565 ,21300 ,89463 ,50646737 ,4705 ,7747 ,231006172 ,4399 ,8171 ,52103158 ,204 ,396 ,719800 ,2518 ,4399 ,1892282 ,8390 ,69751 ,157724793 ,6250 ,48193 ,251438215 ,8393 ,272833 ,174175580 
,　　心臓の先天奇形,26781 ,48769 ,26781 ,394710 ,278150525 ,23611 ,28714 ,3788150 ,11770 ,14559 ,3665294 ,1396 ,1697 ,10333405 ,18993 ,82893 ,26139098 ,9703 ,20707 ,3790098 ,11227 ,213210 ,5858591 ,625 ,2399 ,3171395 ,554 ,4061 ,959358 ,78 ,105 ,38880 ,712 ,3731 ,4899035 ,584 ,2035 ,97334243 ,787 ,1592 ,16505255 ,130 ,213 ,32010 ,78 ,126 ,63544 ,1479 ,5033 ,17255608 ,1455 ,13555 ,84315785 ,1527 ,38020 ,24878161 
,　　その他の先天奇形，変形及び染色体異常,173235 ,336976 ,173235 ,2168904 ,763341114 ,159607 ,231817 ,30565476 ,52228 ,67870 ,14969716 ,5716 ,9617 ,46675547 ,59093 ,343020 ,46969034 ,33338 ,84027 ,30825951 ,86455 ,1094047 ,30072105 ,5568 ,15738 ,10464280 ,16033 ,117467 ,26409129 ,1421 ,3305 ,1262685 ,20588 ,85732 ,45747702 ,4121 ,5712 ,133671929 ,3612 ,6579 ,35597903 ,74 ,183 ,687790 ,2440 ,4273 ,1828738 ,6911 ,64718 ,140469185 ,4795 ,34638 ,167122430 ,6866 ,234813 ,149297419 
,ⅩⅧ　症状，徴候等で他に分類されないもの,1769822 ,3282431 ,1769822 ,29631381 ,3964108275 ,1674325 ,2572290 ,404273520 ,729187 ,1027337 ,194435139 ,42458 ,81511 ,159536917 ,726292 ,4715583 ,566409063 ,346283 ,903277 ,433796054 ,1231346 ,17668431 ,332628061 ,189406 ,493791 ,305946996 ,45095 ,555715 ,111572798 ,37708 ,61537 ,21055862 ,181618 ,782943 ,161101766 ,20106 ,23626 ,116045465 ,20590 ,39337 ,25311608 ,510 ,4578 ,10650368 ,36681 ,77494 ,23742551 ,37740 ,608148 ,1038440751 ,2581 ,15403 ,58798443 ,34248 ,1659300 ,971479980 
,　　症状，徴候等で他に分類されないもの,1769822 ,3282431 ,1769822 ,29631381 ,3964108275 ,1674325 ,2572290 ,404273520 ,729187 ,1027337 ,194435139 ,42458 ,81511 ,159536917 ,726292 ,4715583 ,566409063 ,346283 ,903277 ,433796054 ,1231346 ,17668431 ,332628061 ,189406 ,493791 ,305946996 ,45095 ,555715 ,111572798 ,37708 ,61537 ,21055862 ,181618 ,782943 ,161101766 ,20106 ,23626 ,116045465 ,20590 ,39337 ,25311608 ,510 ,4578 ,10650368 ,36681 ,77494 ,23742551 ,37740 ,608148 ,1038440751 ,2581 ,15403 ,58798443 ,34248 ,1659300 ,971479980 
,ⅩⅨ　損傷，中毒及びその他の外因の影響,2808963 ,8597456 ,2808963 ,45196161 ,14834576055 ,2585174 ,5322841 ,821231955 ,864119 ,1239314 ,238271169 ,53506 ,94084 ,167084824 ,447662 ,3380230 ,329897868 ,1319363 ,3962322 ,888902491 ,1751856 ,16903009 ,368370430 ,243197 ,699213 ,271920369 ,329948 ,7447180 ,1520618512 ,9333 ,25642 ,8121070 ,968644 ,2543192 ,601095602 ,213108 ,254588 ,2292749458 ,90827 ,156729 ,360388978 ,630 ,2072 ,2733232 ,7370 ,14244 ,6627736 ,189605 ,2140165 ,4043036637 ,91297 ,1010451 ,2913348697 ,191895 ,9353824 ,5851331481 
,　　骨　　折,712487 ,3480475 ,712487 ,20209273 ,8319784163 ,601530 ,1367367 ,169328909 ,228435 ,375479 ,87607261 ,25850 ,41074 ,70561544 ,131465 ,1321051 ,118739475 ,436271 ,1530335 ,309329229 ,399540 ,7324077 ,129342137 ,85549 ,303417 ,130938886 ,164131 ,5114078 ,1021400564 ,3192 ,8852 ,2572861 ,186382 ,555467 ,187987986 ,64544 ,93884 ,1377208649 ,48028 ,81503 ,240746848 ,288 ,795 ,891228 ,1737 ,3127 ,1279725 ,116308 ,1414089 ,2692146547 ,54408 ,674171 ,1779615031 ,119301 ,6335418 ,3987885754 
,　　頭蓋内損傷及び内臓の損傷,44911 ,296092 ,44911 ,1600285 ,996336439 ,33345 ,47699 ,9192216 ,18324 ,30363 ,8674982 ,1783 ,4939 ,6395422 ,11459 ,111014 ,10273253 ,25032 ,59780 ,35804168 ,18903 ,510009 ,8488766 ,3262 ,16184 ,6409859 ,10491 ,503904 ,126303616 ,531 ,1452 ,406130 ,5189 ,55007 ,13857445 ,4784 ,7559 ,88265447 ,1445 ,1929 ,11730695 ,82 ,143 ,177330 ,324 ,470 ,176794 ,15098 ,155872 ,299475154 ,9274 ,93883 ,370704391 ,14742 ,713249 ,421428283 
