平成２７年　社会医療診療行為別統計　平成２７年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,ⅩⅡ　皮膚及び皮下組織の疾患,6111533 ,9054434 ,6111533 ,59389842 ,5907024137 ,5816239 ,8063096 ,1394792706 ,2251424 ,2879338 ,411741012 ,69064 ,138177 ,225552075 ,760132 ,3966523 ,442399352 ,101192 ,273568 ,89097347 ,5465417 ,39631746 ,979118261 ,228166 ,570749 ,382856955 ,29258 ,432191 ,85668813 ,17216 ,40627 ,14058715 ,1327847 ,2606610 ,472965439 ,72124 ,77708 ,181299172 ,22034 ,44420 ,23467310 ,1143 ,12453 ,19869890 ,23503 ,47598 ,23506691 ,32663 ,481216 ,787858191 ,11468 ,123484 ,370160906 ,32521 ,1693825 ,1064402112 
,　　皮膚及び皮下組織の感染症,363482 ,725527 ,363482 ,4050530 ,679476311 ,339523 ,581501 ,101203286 ,122888 ,170965 ,26807922 ,5653 ,11644 ,19823339 ,67700 ,449748 ,43897166 ,21173 ,52666 ,15528891 ,314369 ,2268356 ,61874589 ,20767 ,65079 ,37113797 ,3748 ,54507 ,11143917 ,1060 ,2863 ,879157 ,111312 ,243754 ,39678551 ,19683 ,20896 ,27863876 ,2457 ,4587 ,4405480 ,59 ,484 ,833530 ,2600 ,5045 ,2456993 ,8764 ,65481 ,118956490 ,5741 ,52931 ,166871347 ,9082 ,322334 ,210832126 
,　　皮膚炎及び湿疹,3454644 ,4778043 ,3454644 ,32036367 ,2625007312 ,3281076 ,4378739 ,793502155 ,1307705 ,1666009 ,235385799 ,30299 ,59610 ,95291145 ,418310 ,1918415 ,226151535 ,38615 ,106292 ,33796951 ,3168696 ,21958824 ,536217473 ,109466 ,271188 ,138717880 ,11810 ,151639 ,29585042 ,9047 ,20816 ,7408802 ,700682 ,1295756 ,205225781 ,9882 ,10386 ,46717126 ,11337 ,24820 ,7968733 ,305 ,3178 ,5437836 ,7916 ,16514 ,6812008 ,8220 ,146902 ,233326748 ,866 ,7109 ,22507096 ,7841 ,424245 ,268148058 
,　　その他の皮膚及び皮下組織の疾患,2293407 ,3550864 ,2293407 ,23302945 ,2602540514 ,2195640 ,3102856 ,500087265 ,820831 ,1042364 ,149547291 ,33112 ,66923 ,110437591 ,274122 ,1598360 ,172350651 ,41404 ,114610 ,39771505 ,1982352 ,15404566 ,381026199 ,97933 ,234482 ,207025278 ,13700 ,226045 ,44939854 ,7109 ,16948 ,5770756 ,515853 ,1067100 ,228061107 ,42559 ,46426 ,106718170 ,8240 ,15013 ,11093097 ,779 ,8791 ,13598524 ,12987 ,26039 ,14237690 ,15679 ,268833 ,435574953 ,4861 ,63444 ,180782463 ,15598 ,947246 ,585421928 
,ⅩⅢ　筋骨格系及び結合組織の疾患,7528522 ,19233986 ,7528522 ,133791078 ,15943231938 ,7339565 ,17330497 ,1870313046 ,2959990 ,3992796 ,514005656 ,121399 ,195693 ,431057712 ,1293916 ,9560194 ,928127957 ,2058425 ,5932340 ,1373670464 ,5898686 ,76006486 ,1552011530 ,1673335 ,4493465 ,1484202560 ,808236 ,6087984 ,1097332740 ,33282 ,60387 ,20284578 ,1809694 ,7162545 ,584499118 ,92828 ,86580 ,1840469739 ,564859 ,1057570 ,480049201 ,602 ,3766 ,6164649 ,16161 ,31401 ,12630386 ,102670 ,1201441 ,1996997851 ,48988 ,587006 ,1749848594 ,107655 ,5196135 ,3278748226 
,　　炎症性多発性関節障害,636106 ,1164730 ,636106 ,13968791 ,1588171615 ,621237 ,1040199 ,128971554 ,256115 ,341508 ,44903263 ,25503 ,33226 ,127611175 ,278445 ,2607418 ,226452049 ,157063 ,478554 ,84177125 ,559302 ,8634926 ,162985360 ,103567 ,234645 ,426884943 ,22523 ,199446 ,37150479 ,1781 ,3186 ,1067171 ,75595 ,240904 ,25825501 ,2859 ,3081 ,46531999 ,14203 ,27105 ,9970833 ,29 ,139 ,225062 ,1738 ,3321 ,1395863 ,7916 ,82959 ,135585671 ,3736 ,37993 ,128393098 ,8237 ,351650 ,222571602 
,　　関節症,1461446 ,4056307 ,1461446 ,24166589 ,3534147307 ,1426601 ,3663867 ,371183465 ,536196 ,723940 ,85879356 ,14007 ,23936 ,41356712 ,163643 ,1118621 ,108859942 ,392206 ,1191289 ,213948870 ,1105838 ,12007813 ,265826673 ,654118 ,1725632 ,367573801 ,199887 ,1593254 ,290863539 ,2506 ,4794 ,1667498 ,378167 ,1511733 ,104627789 ,19775 ,27552 ,797371857 ,101031 ,197983 ,123519243 ,90 ,414 ,578838 ,1703 ,3201 ,1337467 ,20369 ,222592 ,374751711 ,10980 ,149820 ,384625354 ,21846 ,1093771 ,699808530 
,　　脊椎障害（脊椎症を含む）,1591447 ,4933957 ,1591447 ,29330224 ,3552464697 ,1551900 ,4491843 ,437213015 ,592724 ,796880 ,94563643 ,19564 ,33063 ,56121764 ,201023 ,1320348 ,133907241 ,451191 ,1346560 ,384536448 ,1242434 ,15798459 ,335838660 ,284624 ,873191 ,197227520 ,207013 ,1619229 ,291395165 ,3064 ,5565 ,1860149 ,493027 ,2234163 ,141209251 ,19843 ,12948 ,442821595 ,190155 ,362321 ,162645501 ,98 ,589 ,1232494 ,2436 ,4800 ,1975000 ,24822 ,286749 ,469697632 ,12081 ,143363 ,400070335 ,26169 ,1283291 ,811383256 
,　　椎間板障害,562582 ,1556651 ,562582 ,7742756 ,977950581 ,553023 ,1470365 ,161019282 ,195110 ,248882 ,28733248 ,2113 ,2722 ,5948572 ,41197 ,276736 ,26720963 ,211887 ,593239 ,190442687 ,405909 ,3563026 ,84224221 ,67913 ,198903 ,33384454 ,91022 ,471882 ,82075026 ,635 ,1134 ,371840 ,199367 ,712463 ,38655314 ,6913 ,3369 ,94547166 ,67056 ,117580 ,60363550 ,8 ,67 ,153720 ,506 ,988 ,411076 ,6454 ,47444 ,79077281 ,3572 ,33935 ,91797077 ,6887 ,218752 ,141886816 
,　　頚腕症候群,190757 ,394236 ,190757 ,3374384 ,177770238 ,189335 ,388919 ,45533979 ,96383 ,133846 ,17850761 ,1688 ,2749 ,4430068 ,22624 ,122909 ,11850975 ,30791 ,84153 ,21998091 ,157030 ,2330524 ,38941756 ,20768 ,57434 ,7765832 ,11036 ,55308 ,8916484 ,2885 ,4315 ,1385750 ,43805 ,160582 ,8194018 ,1288 ,232 ,928380 ,16480 ,29378 ,5212774 ,-,-,-,169 ,356 ,128948 ,186 ,3654 ,4511880 ,5 ,24 ,66388 ,185 ,11236 ,6665674 
,　　腰痛症及び坐骨神経痛,697555 ,1405489 ,697555 ,13686974 ,893405042 ,680982 ,1312188 ,160981986 ,359054 ,500929 ,67637582 ,12868 ,22861 ,37136464 ,104801 ,628881 ,61246733 ,145171 ,375436 ,88358670 ,600624 ,9797620 ,171789039 ,76173 ,218906 ,59663135 ,23807 ,153558 ,26718068 ,9816 ,17955 ,6197073 ,142108 ,490914 ,56269177 ,5670 ,2393 ,20360773 ,50539 ,88630 ,17586606 ,54 ,451 ,876505 ,2271 ,4803 ,1592495 ,5128 ,66486 ,103265958 ,697 ,4901 ,13528487 ,5019 ,204767 ,128394844 
,　　その他の脊柱障害,217327 ,552331 ,217327 ,3239415 ,540849979 ,212572 ,506160 ,57229425 ,70006 ,92253 ,11278601 ,2105 ,2787 ,7383804 ,27715 ,188889 ,19765065 ,89174 ,255512 ,69315950 ,148992 ,1626303 ,35479578 ,29987 ,87567 ,20663075 ,28808 ,179778 ,32338873 ,526 ,960 ,326745 ,56338 ,213433 ,14818155 ,2774 ,3192 ,146567399 ,20196 ,36767 ,26876752 ,23 ,92 ,115620 ,342 ,693 ,275796 ,2931 ,26471 ,45276177 ,1597 ,18537 ,53113160 ,3122 ,125255 ,81362074 
,　　肩の傷害〈損傷〉,465733 ,1301536 ,465733 ,7563070 ,578352905 ,460408 ,1269414 ,129676459 ,181990 ,244879 ,27786221 ,3801 ,5788 ,10003564 ,47448 ,270868 ,26955678 ,121161 ,338533 ,64181172 ,360289 ,3972504 ,84231590 ,150017 ,379099 ,72484209 ,90330 ,492300 ,81324318 ,1943 ,3265 ,1119125 ,118344 ,490996 ,31853226 ,3461 ,920 ,7544351 ,39399 ,75239 ,12715585 ,13 ,130 ,297890 ,378 ,816 ,346361 ,960 ,17573 ,25841339 ,79 ,739 ,1853738 ,954 ,56281 ,33685916 
,　　骨の密度及び構造の障害,587415 ,1242437 ,587415 ,11824554 ,981119352 ,571331 ,1141786 ,114347823 ,247706 ,337617 ,45785117 ,19664 ,32046 ,60528240 ,162222 ,836910 ,95234015 ,94204 ,279325 ,59772904 ,511365 ,8099698 ,152075042 ,131143 ,341695 ,138511945 ,32016 ,251743 ,44292433 ,1470 ,3017 ,961476 ,85836 ,357527 ,48298079 ,3721 ,3127 ,49679047 ,25051 ,50608 ,14292366 ,101 ,979 ,1513170 ,1820 ,3896 ,1219100 ,4432 ,63204 ,100017788 ,1594 ,21325 ,54387157 ,4586 ,250344 ,158552880 
,　　その他の筋骨格系及び結合組織の疾患,1118154 ,2626312 ,1118154 ,18894321 ,3119000222 ,1072176 ,2045756 ,264156058 ,424706 ,572062 ,89587864 ,20086 ,36515 ,80537349 ,244798 ,2188614 ,217135296 ,365577 ,989739 ,196938547 ,806903 ,10175613 ,220619611 ,155025 ,376393 ,160043646 ,101794 ,1071486 ,202258355 ,8656 ,16196 ,5327751 ,217107 ,749830 ,114748608 ,26524 ,29766 ,234117172 ,40749 ,71959 ,46865991 ,186 ,905 ,1171350 ,4798 ,8527 ,3948280 ,29472 ,384309 ,658972414 ,14647 ,176369 ,622013800 ,30650 ,1600788 ,994436634 
,ⅩⅣ　腎尿路生殖器系の疾患,2832605 ,6859054 ,2832605 ,62527041 ,13238509012 ,2684003 ,5541810 ,645423674 ,1033835 ,1565111 ,504230450 ,92530 ,127377 ,346996210 ,1877678 ,9785716 ,1102842680 ,396846 ,788326 ,303939081 ,2023123 ,38738374 ,820609916 ,282133 ,642983 ,436220849 ,29247 ,585194 ,120153629 ,15153 ,28867 ,8683832 ,465525 ,2848713 ,5266980315 ,54487 ,64936 ,674513216 ,24015 ,37236 ,85821404 ,676 ,4150 ,7665184 ,237381 ,498434 ,108821391 ,88862 ,844523 ,1440438103 ,47761 ,424364 ,1353760419 ,89416 ,3508868 ,2271431466 
,　　糸球体疾患及び腎尿細管間質性疾患,167207 ,440161 ,167207 ,4208159 ,992035950 ,148668 ,228610 ,30117702 ,64590 ,96274 ,21638525 ,5737 ,8242 ,21595235 ,133306 ,1048048 ,96035836 ,27199 ,70077 ,28828814 ,114466 ,2329643 ,48895830 ,17671 ,59339 ,46173087 ,3763 ,72122 ,15610952 ,929 ,2059 ,568195 ,10296 ,61127 ,45473812 ,5194 ,7048 ,57721419 ,1933 ,2996 ,8457572 ,64 ,251 ,509490 ,5480 ,9612 ,2976726 ,16565 ,90815 ,175316697 ,12886 ,121737 ,391497718 ,17262 ,544985 ,364338214 
,　　腎不全,281430 ,2586932 ,281430 ,17750659 ,7915688513 ,247855 ,1995939 ,155079236 ,207736 ,478747 ,358646270 ,32222 ,40498 ,176075170 ,169590 ,1419096 ,136840078 ,144752 ,136234 ,51589303 ,236721 ,10378836 ,254361843 ,92193 ,135676 ,174170678 ,13429 ,255650 ,50299575 ,1069 ,2886 ,741691 ,177187 ,2287894 ,5124439731 ,16237 ,21434 ,241119234 ,3377 ,2947 ,6000594 ,223 ,510 ,283480 ,3281 ,5967 ,2377557 ,29524 ,432879 ,676927421 ,12703 ,155059 ,496881543 ,30022 ,1758124 ,1146259178 
,　　尿路結石症,130767 ,213361 ,130767 ,2230273 ,472279492 ,123085 ,168799 ,28097375 ,48030 ,66259 ,10937252 ,2038 ,2495 ,6063441 ,100074 ,573435 ,63331267 ,64900 ,185147 ,62782489 ,85719 ,1114119 ,20276473 ,13405 ,21598 ,10670130 ,691 ,13217 ,2752039 ,237 ,522 ,177835 ,9116 ,13322 ,4891384 ,7953 ,7796 ,126382521 ,3066 ,4774 ,14620035 ,13 ,109 ,179490 ,4848 ,9749 ,2202214 ,7319 ,26550 ,49334814 ,5169 ,22374 ,69441953 ,7457 ,114555 ,72399690 
,　　その他の腎尿路系の疾患,699381 ,1297160 ,699381 ,14568838 ,1650529042 ,664872 ,977425 ,141516906 ,285194 ,404180 ,60581089 ,37285 ,56649 ,98922610 ,515984 ,2711524 ,234817222 ,48692 ,135627 ,52512492 ,591513 ,9374734 ,185777808 ,45075 ,147173 ,101027132 ,9031 ,204270 ,42950138 ,4742 ,11695 ,3807536 ,46538 ,188379 ,52305999 ,4151 ,5892 ,49190600 ,4622 ,8437 ,8409981 ,159 ,1228 ,2641450 ,20483 ,41439 ,8943814 ,18416 ,234758 ,396478560 ,7220 ,65249 ,210094872 ,17650 ,802627 ,502772046 
,　　前立腺肥大（症）,461883 ,614916 ,461883 ,10438771 ,656961796 ,453573 ,583599 ,65191958 ,157885 ,199044 ,24816322 ,10193 ,13550 ,25689438 ,329316 ,1590279 ,147207709 ,24422 ,66979 ,32158243 ,416062 ,7820654 ,144736753 ,12784 ,26595 ,37846385 ,1289 ,26889 ,5794934 ,1083 ,1932 ,618745 ,17290 ,35356 ,10685067 ,2813 ,3227 ,46467324 ,2964 ,4753 ,8973933 ,93 ,921 ,2180660 ,12400 ,23888 ,6217280 ,4663 ,26562 ,56729454 ,1948 ,14526 ,41447462 ,4839 ,109454 ,70530368 
,　　その他の男性生殖器の疾患,107369 ,153155 ,107369 ,1363932 ,156212018 ,103142 ,135424 ,24194754 ,27950 ,35684 ,5330210 ,976 ,1265 ,2983433 ,71817 ,327255 ,29779916 ,4394 ,11489 ,4980255 ,67786 ,802102 ,17047327 ,3620 ,7772 ,6865936 ,265 ,4462 ,987753 ,219 ,357 ,113225 ,10728 ,14792 ,3843065 ,1117 ,1260 ,4952646 ,853 ,1201 ,3240415 ,19 ,181 ,440620 ,1913 ,3672 ,979380 ,2308 ,6791 ,17998486 ,1710 ,10215 ,32471941 ,2437 ,41335 ,27400572 
,　　月経障害及び閉経周辺期障害,276945 ,413271 ,276945 ,4639291 ,230317613 ,274000 ,409894 ,56807142 ,87628 ,99734 ,5714558 ,477 ,519 ,1683999 ,80503 ,340417 ,58599269 ,3024 ,7428 ,3561710 ,208879 ,3556295 ,68394454 ,38958 ,121753 ,11186191 ,208 ,1448 ,269883 ,5424 ,7366 ,2023750 ,30319 ,40557 ,4713554 ,726 ,825 ,2454667 ,497 ,841 ,496881 ,16 ,114 ,166430 ,22759 ,49634 ,8603586 ,323 ,1753 ,3330893 ,180 ,692 ,2310361 ,306 ,6029 ,3866132 
,　　乳房及びその他の女性生殖器の疾患,707623 ,1140098 ,707623 ,7327118 ,1164484588 ,668808 ,1042120 ,144418601 ,154822 ,185189 ,16566224 ,3602 ,4159 ,13982884 ,477088 ,1775662 ,336231383 ,79463 ,175345 ,67525775 ,301977 ,3361991 ,81119428 ,58427 ,123077 ,48281310 ,571 ,7136 ,1488355 ,1450 ,2050 ,632855 ,164051 ,207286 ,20627703 ,16296 ,17454 ,146224805 ,6703 ,11287 ,35621993 ,89 ,836 ,1263564 ,166217 ,354473 ,76520834 ,9744 ,24415 ,64321778 ,5945 ,34512 ,109614569 ,9443 ,131759 ,83865266 
,ⅩⅤ　妊娠，分娩及び産じょく,278161 ,793344 ,278161 ,3609080 ,1679326774 ,165625 ,273621 ,37113570 ,87971 ,118239 ,17850178 ,2835 ,2765 ,5327180 ,192888 ,783419 ,152140280 ,10330 ,21608 ,4159850 ,146482 ,1775222 ,25833463 ,39833 ,114842 ,32858826 ,97 ,927 ,213042 ,455 ,736 ,215695 ,45565 ,68077 ,5124087 ,27418 ,32382 ,352407723 ,18667 ,34150 ,42191041 ,87 ,159 ,92120 ,20238 ,36005 ,13322683 ,45699 ,129082 ,308267772 ,27238 ,217384 ,682191942 ,44643 ,869054 ,551127870 
,　　流　　産,30638 ,61013 ,30638 ,318231 ,111485201 ,25013 ,48619 ,6809755 ,6726 ,8560 ,1111494 ,63 ,62 ,169305 ,23693 ,119026 ,21257183 ,1275 ,2480 ,697732 ,12441 ,88951 ,1468756 ,3897 ,4284 ,754157 ,5 ,143 ,35205 ,24 ,37 ,10240 ,4193 ,5232 ,344734 ,6722 ,6970 ,29153737 ,5518 ,6257 ,7599124 ,6 ,8 ,1320 ,8768 ,15584 ,7192708 ,5477 ,5154 ,10429905 ,2493 ,6851 ,24449722 ,3096 ,15276 ,9741064 
,　　妊娠高血圧症候群,5905 ,24484 ,5905 ,106892 ,94167662 ,2346 ,3325 ,458783 ,2341 ,3473 ,777396 ,59 ,53 ,106463 ,3092 ,21918 ,2109788 ,347 ,692 ,130514 ,3436 ,54457 ,617531 ,771 ,2138 ,725440 ,4 ,15 ,3645 ,13 ,35 ,9590 ,593 ,1035 ,100822 ,902 ,1098 ,19001995 ,716 ,1607 ,2146513 ,3 ,3 ,660 ,417 ,527 ,282232 ,2031 ,4718 ,25926195 ,1530 ,11784 ,41769955 ,2088 ,41833 ,28181666 
,　　その他の妊娠，分娩及び産じょく,241618 ,707847 ,241618 ,3183957 ,1473673911 ,138266 ,221677 ,29845032 ,78904 ,106206 ,15961288 ,2713 ,2650 ,5051412 ,166103 ,642475 ,128773309 ,8708 ,18436 ,3331604 ,130605 ,1631814 ,23747176 ,35165 ,108420 ,31379229 ,88 ,769 ,174192 ,418 ,664 ,195865 ,40779 ,61810 ,4678531 ,19794 ,24314 ,304251991 ,12433 ,26286 ,32445404 ,78 ,148 ,90140 ,11053 ,19894 ,5847743 ,38191 ,119210 ,271911672 ,23215 ,198749 ,615972265 ,39459 ,811945 ,513205140 
,ⅩⅥ　周産期に発生した病態,64612 ,257206 ,64612 ,686334 ,1129320065 ,39907 ,52017 ,9867724 ,21167 ,27638 ,7381180 ,1379 ,2142 ,10040846 ,29379 ,154951 ,18014271 ,3619 ,7851 ,1742013 ,16412 ,182250 ,2818199 ,3440 ,9941 ,9196062 ,2812 ,17855 ,4255486 ,60 ,73 ,31005 ,9885 ,37217 ,9616065 ,2868 ,4082 ,33222264 ,682 ,1134 ,5090192 ,115 ,191 ,21120 ,273 ,399 ,191024 ,20457 ,50330 ,138855502 ,13832 ,135772 ,879075419 ,16991 ,333781 ,210652240 
,　　妊娠及び胎児発育に関連する障害,28065 ,129403 ,28065 ,338042 ,702425364 ,19790 ,25849 ,4064648 ,10091 ,13082 ,3006446 ,777 ,977 ,6182110 ,11747 ,57150 ,9099736 ,1986 ,4243 ,950712 ,9007 ,109188 ,1613146 ,1495 ,5268 ,7053079 ,1813 ,10876 ,2621585 ,46 ,56 ,23255 ,2439 ,9585 ,3660225 ,884 ,1650 ,14340919 ,229 ,356 ,1818265 ,99 ,172 ,18920 ,154 ,230 ,104218 ,5862 ,16940 ,59555538 ,5563 ,81549 ,588457034 ,5734 ,179897 ,114798060 
,　　その他の周産期に発生した病態,36547 ,127803 ,36547 ,348292 ,426894701 ,20117 ,26168 ,5803076 ,11076 ,14556 ,4374734 ,602 ,1165 ,3858736 ,17632 ,97801 ,8914535 ,1633 ,3608 ,791301 ,7405 ,73062 ,1205053 ,1945 ,4673 ,2142983 ,999 ,6979 ,1633901 ,14 ,17 ,7750 ,7446 ,27632 ,5955840 ,1984 ,2432 ,18881345 ,453 ,778 ,3271927 ,16 ,19 ,2200 ,119 ,169 ,86806 ,14595 ,33390 ,79299964 ,8269 ,54223 ,290618385 ,11257 ,153884 ,95854180 
,ⅩⅦ　先天奇形，変形及び染色体異常,190290 ,373844 ,190290 ,2543846 ,1019850108 ,173953 ,248126 ,32865261 ,60249 ,78061 ,17083229 ,6447 ,9989 ,51118492 ,74410 ,406484 ,68224612 ,40256 ,99214 ,31687649 ,94108 ,1338637 ,32417864 ,6468 ,20139 ,17445915 ,15459 ,111787 ,25208304 ,1338 ,3031 ,1166295 ,20305 ,87345 ,44079056 ,4637 ,8110 ,231351624 ,4474 ,8486 ,53361067 ,254 ,461 ,2139290 ,2390 ,4220 ,1734017 ,8362 ,73859 ,171634819 ,6053 ,45382 ,236030035 ,8474 ,276394 ,179077364 
,　　心臓の先天奇形,26001 ,47641 ,26001 ,421529 ,277271776 ,22915 ,27975 ,3708041 ,11099 ,13546 ,3213541 ,1311 ,1589 ,9974131 ,18511 ,82395 ,24794379 ,9429 ,21254 ,3570203 ,11195 ,241337 ,5924458 ,779 ,2860 ,5297118 ,468 ,3097 ,717556 ,61 ,76 ,28500 ,815 ,4369 ,1919781 ,575 ,2361 ,101122400 ,812 ,1728 ,17700829 ,148 ,292 ,44770 ,64 ,122 ,50868 ,1438 ,6566 ,23305025 ,1307 ,11821 ,75878188 ,1517 ,36903 ,24141314 
,　　その他の先天奇形，変形及び染色体異常,164289 ,326203 ,164289 ,2122317 ,742578332 ,151038 ,220151 ,29157220 ,49150 ,64515 ,13869688 ,5136 ,8400 ,41144361 ,55899 ,324089 ,43430233 ,30827 ,77960 ,28117446 ,82913 ,1097300 ,26493406 ,5689 ,17279 ,12148797 ,14991 ,108690 ,24490748 ,1277 ,2955 ,1137795 ,19490 ,82976 ,42159275 ,4062 ,5749 ,130229224 ,3662 ,6758 ,35660238 ,106 ,169 ,2094520 ,2326 ,4098 ,1683149 ,6924 ,67293 ,148329794 ,4746 ,33561 ,160151847 ,6957 ,239491 ,154936050 
,ⅩⅧ　症状，徴候等で他に分類されないもの,1727621 ,3286124 ,1727621 ,30041662 ,3973726872 ,1631337 ,2542551 ,402480557 ,713766 ,1015933 ,184124981 ,40336 ,76097 ,148942597 ,705558 ,4609825 ,542491322 ,335742 ,885856 ,423501023 ,1208938 ,18112039 ,341175945 ,194733 ,536645 ,294040014 ,44724 ,574851 ,115930623 ,36025 ,58899 ,19877532 ,185591 ,825796 ,167419250 ,20330 ,24041 ,117745467 ,20662 ,39987 ,28365726 ,530 ,3984 ,9354772 ,34833 ,73572 ,22314757 ,40023 ,646582 ,1098867781 ,2542 ,14546 ,55214204 ,36330 ,1746502 ,1057874784 
,　　症状，徴候等で他に分類されないもの,1727621 ,3286124 ,1727621 ,30041662 ,3973726872 ,1631337 ,2542551 ,402480557 ,713766 ,1015933 ,184124981 ,40336 ,76097 ,148942597 ,705558 ,4609825 ,542491322 ,335742 ,885856 ,423501023 ,1208938 ,18112039 ,341175945 ,194733 ,536645 ,294040014 ,44724 ,574851 ,115930623 ,36025 ,58899 ,19877532 ,185591 ,825796 ,167419250 ,20330 ,24041 ,117745467 ,20662 ,39987 ,28365726 ,530 ,3984 ,9354772 ,34833 ,73572 ,22314757 ,40023 ,646582 ,1098867781 ,2542 ,14546 ,55214204 ,36330 ,1746502 ,1057874784 
,ⅩⅨ　損傷，中毒及びその他の外因の影響,2716021 ,8337935 ,2716021 ,44380430 ,14114932762 ,2496130 ,5190127 ,806486307 ,848612 ,1212907 ,219624709 ,48042 ,83457 ,154022273 ,427711 ,3276395 ,312588748 ,1277715 ,3821697 ,846896259 ,1701193 ,17072078 ,377712538 ,241056 ,717641 ,276418567 ,310612 ,6950673 ,1393137427 ,9101 ,24489 ,8032342 ,969082 ,2574570 ,585771325 ,213354 ,253374 ,2222154508 ,87988 ,154815 ,342716733 ,621 ,2142 ,2956810 ,7099 ,13614 ,6122468 ,181499 ,2084030 ,3809978813 ,87521 ,947662 ,2748989769 ,184903 ,8994437 ,5658518298 
,　　骨　　折,668303 ,3276353 ,668303 ,19352567 ,7686516134 ,561784 ,1293625 ,160720825 ,217899 ,353356 ,79906443 ,22688 ,35329 ,67713402 ,121590 ,1237534 ,109218267 ,412384 ,1438700 ,286664467 ,378972 ,7305296 ,131729526 ,82555 ,301094 ,130667719 ,153580 ,4706019 ,917657473 ,2957 ,8088 ,2396762 ,181169 ,545481 ,177167466 ,60689 ,87747 ,1280697761 ,44949 ,77576 ,219713495 ,301 ,710 ,713006 ,1715 ,3092 ,1188373 ,107998 ,1337155 ,2475542613 ,50281 ,621490 ,1644744570 ,111713 ,5952073 ,3747250702 
,　　頭蓋内損傷及び内臓の損傷,43466 ,286971 ,43466 ,1608222 ,945905726 ,31575 ,46246 ,8905312 ,17255 ,27843 ,7240340 ,1605 ,4133 ,5603190 ,11319 ,118789 ,10294918 ,24305 ,61190 ,35606163 ,18577 ,532279 ,8636775 ,3456 ,20211 ,8011696 ,9962 ,481401 ,120343123 ,475 ,1193 ,339140 ,5338 ,63560 ,15050778 ,4537 ,7222 ,79989187 ,1330 ,1808 ,11151632 ,65 ,112 ,32440 ,315 ,491 ,191918 ,14708 ,159311 ,301917353 ,8715 ,82326 ,332579187 ,14342 ,691454 ,424954876 
,　　熱傷及び腐食,53864 ,136023 ,53864 ,530342 ,127499632 ,51448 ,114905 ,19239654 ,16581 ,24325 ,3780974 ,508 ,848 ,1282251 ,4402 ,29909 ,2883441 ,1099 ,3574 ,906707 ,42197 ,219166 ,7115396 ,1430 ,5700 ,2825977 ,749 ,14825 ,2922607 ,180 ,448 ,152825 ,39086 ,95221 ,16971264 ,482 ,1064 ,11660573 ,487 ,1159 ,2002583 ,10 ,24 ,7040 ,73 ,149 ,59816 ,1123 ,9174 ,18422535 ,752 ,9846 ,37263422 ,1167 ,53570 ,34803982 
,　　中　　毒,138563 ,184921 ,138563 ,854225 ,140838617 ,130728 ,163474 ,42810064 ,43845 ,57602 ,9975364 ,578 ,729 ,1169692 ,10955 ,59193 ,6177553 ,2220 ,4979 ,1791029 ,123404 ,486680 ,14218575 ,7774 ,11956 ,3078757 ,379 ,4944 ,1078008 ,1071 ,2208 ,665345 ,38233 ,47719 ,5482606 ,469 ,469 ,1002147 ,202 ,338 ,129240 ,6 ,60 ,120250 ,186 ,389 ,177078 ,2280 ,8130 ,18487244 ,1754 ,5351 ,34466125 ,1886 ,29495 ,19214056 
