平成２９年　社会医療診療行為別統計　平成２９年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報告書Ⅰ　医科診療　第　７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,ⅩⅡ　皮膚及び皮下組織の疾患,6600927 ,9755181 ,6600927 ,61375753 ,6417032883 ,6277681 ,8679051 ,1482274335 ,2398277 ,3060154 ,451479403 ,77134 ,159364 ,254599943 ,817979 ,4201515 ,475344489 ,111566 ,301261 ,100137216 ,5890864 ,40290458 ,1021600949 ,221597 ,538986 ,488363405 ,32026 ,496911 ,98499847 ,18080 ,43389 ,15014858 ,1415692 ,2773286 ,524593060 ,80889 ,86871 ,192746676 ,21758 ,43962 ,23763546 ,1367 ,15723 ,26291694 ,28465 ,57597 ,29673011 ,34306 ,496363 ,839772824 ,12313 ,130455 ,391920064 ,34032 ,1775334 ,1086909231 
,　　皮膚及び皮下組織の感染症,389098 ,767397 ,389098 ,4165282 ,734555086 ,365018 ,617589 ,106286484 ,126488 ,177037 ,28679763 ,6636 ,13703 ,22766979 ,74573 ,478498 ,47992908 ,22768 ,55851 ,17105145 ,337054 ,2285827 ,63907349 ,20428 ,59444 ,43389663 ,4516 ,66254 ,13668659 ,1167 ,3234 ,1018867 ,116961 ,250111 ,44060081 ,21580 ,22865 ,30001422 ,2424 ,4427 ,4635828 ,49 ,399 ,662854 ,3249 ,6321 ,3218894 ,9388 ,64470 ,120947660 ,6349 ,59199 ,186155169 ,9660 ,339637 ,219047569 
,　　皮膚炎及び湿疹,3594245 ,4962203 ,3594245 ,32080386 ,2720313401 ,3411631 ,4542666 ,813504046 ,1355075 ,1722765 ,249434822 ,31832 ,64661 ,98851588 ,429283 ,1949289 ,232500368 ,41289 ,113607 ,36762544 ,3298668 ,21730124 ,540018044 ,101918 ,245954 ,167284654 ,11998 ,162979 ,31925085 ,8913 ,21257 ,7490947 ,709834 ,1321441 ,214278004 ,10783 ,11290 ,47165846 ,10815 ,23706 ,7373737 ,322 ,3576 ,6332407 ,8817 ,18306 ,8002331 ,8018 ,141009 ,235060739 ,930 ,7610 ,24123505 ,7678 ,414478 ,254545463 
,　　その他の皮膚及び皮下組織の疾患,2617584 ,4025581 ,2617584 ,25130085 ,2962164396 ,2501032 ,3518796 ,562483805 ,916714 ,1160352 ,173364818 ,38666 ,81000 ,132981376 ,314123 ,1773728 ,194851213 ,47509 ,131803 ,46269527 ,2255142 ,16274507 ,417675556 ,99251 ,233588 ,277689088 ,15512 ,267678 ,52906103 ,8000 ,18898 ,6505044 ,588897 ,1201734 ,266254975 ,48526 ,52716 ,115579408 ,8519 ,15829 ,11753981 ,996 ,11748 ,19296433 ,16399 ,32970 ,18451786 ,16900 ,290884 ,483764425 ,5034 ,63646 ,181641390 ,16694 ,1021219 ,613316199 
,ⅩⅢ　筋骨格系及び結合組織の疾患,8065101 ,20400837 ,8065101 ,138822555 ,17940726538 ,7858781 ,18352977 ,1986120372 ,3065271 ,4098692 ,544429637 ,142635 ,235086 ,482708778 ,1418890 ,10519306 ,1043497751 ,2262912 ,6578464 ,1543988471 ,6304378 ,76873094 ,1556730730 ,1726868 ,4480903 ,1624367302 ,935015 ,7252392 ,1345265977 ,35087 ,64623 ,21848614 ,1840221 ,7228268 ,617734102 ,97574 ,98639 ,2381549048 ,583313 ,1081648 ,560984857 ,587 ,3414 ,6106307 ,17335 ,33815 ,14323935 ,114609 ,1271888 ,2273614135 ,55389 ,648803 ,1936671741 ,118882 ,5555477 ,3493585675 
,　　炎症性多発性関節障害,669444 ,1212854 ,669444 ,14094888 ,1705848021 ,653967 ,1089574 ,134572436 ,259187 ,342341 ,46640835 ,30522 ,40221 ,149858585 ,298856 ,2817729 ,246389620 ,167450 ,517951 ,93421117 ,587842 ,8437261 ,160683903 ,107674 ,230302 ,475244197 ,24856 ,220073 ,41232372 ,1856 ,3523 ,1128775 ,75870 ,241391 ,26892771 ,3071 ,3525 ,50761692 ,15035 ,28520 ,11172591 ,31 ,117 ,169880 ,1836 ,3590 ,1624490 ,8261 ,78933 ,140350375 ,3682 ,39814 ,125577473 ,8381 ,342755 ,217766577 
,　　関節症,1589425 ,4351082 ,1589425 ,25842284 ,4087560480 ,1549462 ,3925291 ,398984068 ,571262 ,768055 ,95076245 ,16985 ,29855 ,47314237 ,186342 ,1283462 ,128434225 ,434402 ,1331147 ,246279120 ,1208676 ,12663794 ,274643025 ,677663 ,1757662 ,382090939 ,230649 ,1902918 ,360006872 ,2783 ,5508 ,2009437 ,387599 ,1533917 ,109870484 ,21948 ,31819 ,1025108432 ,104248 ,202144 ,150745590 ,87 ,391 ,597454 ,1976 ,3725 ,1620216 ,23901 ,238716 ,438758419 ,13240 ,163834 ,425939202 ,25248 ,1171956 ,751783539 
,　　脊椎障害（脊椎症を含む）,1676420 ,5134751 ,1676420 ,29964815 ,3965033813 ,1634318 ,4675209 ,457503680 ,606352 ,810083 ,99462253 ,22201 ,38196 ,59355875 ,214172 ,1418143 ,147350353 ,487220 ,1465463 ,421188558 ,1311006 ,15759209 ,327342437 ,283396 ,839762 ,211174518 ,233092 ,1876845 ,348499276 ,3175 ,6065 ,2135576 ,495939 ,2238741 ,148264781 ,20041 ,15103 ,595055622 ,193808 ,367660 ,187797911 ,97 ,513 ,1032154 ,2485 ,4871 ,2121766 ,27081 ,291730 ,513621283 ,13475 ,157156 ,442941641 ,28279 ,1328181 ,840476104 
,　　椎間板障害,595466 ,1626473 ,595466 ,8084455 ,1081186351 ,585486 ,1539559 ,169622601 ,199653 ,254637 ,30575443 ,2402 ,3045 ,6147975 ,44933 ,303193 ,30000748 ,228941 ,649601 ,210403788 ,432578 ,3674975 ,85562212 ,68539 ,193505 ,35662008 ,105581 ,555610 ,100015616 ,606 ,1218 ,413080 ,199010 ,699377 ,38669454 ,7400 ,4055 ,121393733 ,70612 ,122229 ,69486984 ,6 ,39 ,54400 ,522 ,1019 ,405662 ,6872 ,45094 ,81543883 ,3998 ,37231 ,101228256 ,7273 ,220145 ,143744055 
,　　頚腕症候群,195442 ,397846 ,195442 ,3308895 ,183211712 ,194066 ,393693 ,46521734 ,95621 ,130002 ,17468207 ,1741 ,2771 ,4480179 ,23220 ,124654 ,12529809 ,34783 ,96484 ,25481265 ,161229 ,2251547 ,36988450 ,19826 ,52630 ,8502941 ,13192 ,65566 ,11031188 ,2905 ,4289 ,1333845 ,43384 ,154769 ,9110930 ,1148 ,199 ,667139 ,16776 ,29244 ,5162754 ,2 ,34 ,38912 ,136 ,285 ,104486 ,162 ,2710 ,3732240 ,4 ,17 ,57626 ,161 ,8091 ,4966216 
,　　腰痛症及び坐骨神経痛,722556 ,1437647 ,722556 ,13507974 ,907849528 ,706091 ,1349307 ,165032557 ,358370 ,491392 ,66959817 ,13708 ,25226 ,38419505 ,106796 ,637736 ,63875674 ,155880 ,406280 ,96162688 ,620693 ,9542628 ,166457970 ,74776 ,205030 ,64596127 ,27604 ,173151 ,30925765 ,10132 ,18166 ,6211304 ,143436 ,493041 ,55294722 ,5136 ,2303 ,19578732 ,53315 ,92542 ,17967269 ,56 ,434 ,962440 ,2398 ,5092 ,1736718 ,4777 ,60450 ,98986891 ,759 ,5178 ,14489183 ,4687 ,190763 ,119232222 
,　　その他の脊柱障害,249994 ,617530 ,249994 ,3518764 ,675904811 ,244694 ,566146 ,65740804 ,74871 ,98423 ,12846812 ,2703 ,3749 ,9190268 ,31065 ,216341 ,23105263 ,109873 ,311437 ,82662242 ,163870 ,1698108 ,36586007 ,30861 ,86012 ,23228955 ,34992 ,223540 ,41866560 ,604 ,1070 ,361540 ,58801 ,220555 ,17223094 ,2895 ,3890 ,210586282 ,20980 ,37719 ,33119860 ,30 ,62 ,47350 ,377 ,791 ,316251 ,3359 ,27175 ,50478767 ,2037 ,23718 ,68544445 ,3590 ,141924 ,92401951 
,　　肩の傷害〈損傷〉,493774 ,1379340 ,493774 ,7812313 ,626368016 ,487968 ,1345393 ,137206089 ,185964 ,246342 ,28279502 ,4248 ,6452 ,11283552 ,53540 ,296072 ,30963314 ,131051 ,369474 ,71461324 ,379490 ,3987123 ,83685072 ,154451 ,380293 ,76230610 ,105464 ,590406 ,101742581 ,1972 ,3479 ,1228199 ,118646 ,489386 ,33928602 ,3197 ,1057 ,7038578 ,40600 ,77044 ,13218368 ,18 ,170 ,452380 ,403 ,874 ,363472 ,1004 ,17706 ,26682390 ,109 ,1035 ,2603934 ,1004 ,56221 ,33947893 
,　　骨の密度及び構造の障害,638828 ,1327524 ,638828 ,12240670 ,1130700917 ,620421 ,1211920 ,121761892 ,255520 ,342740 ,47075180 ,23525 ,38932 ,62518303 ,181163 ,947680 ,112066999 ,105334 ,313803 ,68830452 ,550939 ,8223817 ,152325635 ,140120 ,339184 ,162575837 ,36926 ,309314 ,57035662 ,1557 ,3379 ,1221981 ,86573 ,358039 ,49024888 ,3988 ,4073 ,79529412 ,23686 ,47105 ,17603974 ,82 ,694 ,1190514 ,1863 ,4010 ,1335403 ,5279 ,62956 ,111162123 ,2445 ,32984 ,85442292 ,5439 ,281441 ,180117780 
,　　その他の筋骨格系及び結合組織の疾患,1233752 ,2915790 ,1233752 ,20447497 ,3577062889 ,1182308 ,2256885 ,289174511 ,458471 ,614677 ,100045343 ,24600 ,46639 ,94140299 ,278803 ,2474296 ,248781746 ,407978 ,1116824 ,228097917 ,888055 ,10634632 ,232456019 ,169562 ,396523 ,185061170 ,122659 ,1334969 ,252910085 ,9497 ,17926 ,5804877 ,230963 ,799052 ,129454376 ,28750 ,32615 ,271829426 ,44253 ,77441 ,54709556 ,178 ,960 ,1560823 ,5339 ,9558 ,4695471 ,33913 ,446418 ,808297764 ,15640 ,187836 ,669847689 ,34820 ,1814000 ,1109149338 
,ⅩⅣ　腎尿路生殖器系の疾患,2983836 ,7212047 ,2983836 ,63507604 ,14187481007 ,2831419 ,5832861 ,675774172 ,1069109 ,1619451 ,535418073 ,98506 ,138650 ,349763699 ,1979677 ,10247326 ,1169840407 ,430757 ,849045 ,333419799 ,2121234 ,38500483 ,813074501 ,281664 ,624048 ,457084330 ,33590 ,700288 ,142261160 ,16320 ,31250 ,9200728 ,471427 ,3006436 ,5633367632 ,58901 ,69280 ,741585968 ,26836 ,40729 ,107817767 ,707 ,4845 ,10386571 ,246073 ,515706 ,116601067 ,96266 ,858712 ,1590029508 ,52327 ,467663 ,1501167397 ,96307 ,3675064 ,2339485526 
,　　糸球体疾患及び腎尿細管間質性疾患,170731 ,458017 ,170731 ,4156459 ,1087213417 ,152238 ,231708 ,30450629 ,69885 ,106030 ,25445830 ,6363 ,9413 ,21872596 ,136242 ,1091615 ,102959681 ,29091 ,73367 ,30773610 ,117459 ,2182767 ,45659507 ,17752 ,56097 ,52864542 ,4889 ,93997 ,19956808 ,871 ,1896 ,563370 ,10591 ,60612 ,46312993 ,5880 ,8002 ,65649734 ,2277 ,3502 ,11146847 ,78 ,389 ,734310 ,5853 ,10167 ,3253950 ,18176 ,91482 ,190018819 ,14234 ,135301 ,439549072 ,18842 ,582287 ,384619860 
,　　腎不全,295591 ,2745362 ,295591 ,17764511 ,8377232350 ,260978 ,2148891 ,166938063 ,216510 ,500440 ,375753261 ,33489 ,43761 ,172834786 ,183957 ,1509154 ,148725777 ,151355 ,141665 ,55582445 ,246184 ,9912900 ,242825465 ,95199 ,127065 ,174399148 ,14754 ,298638 ,57392417 ,1183 ,3514 ,946763 ,182662 ,2454817 ,5481908704 ,18065 ,22094 ,256364476 ,3928 ,2791 ,5990034 ,209 ,519 ,524160 ,3263 ,5872 ,2508011 ,31158 ,436289 ,729525869 ,13294 ,155563 ,504617867 ,31277 ,1783860 ,1141452061 
,　　尿路結石症,134583 ,224047 ,134583 ,2203686 ,536978979 ,126173 ,172772 ,27965088 ,48416 ,67513 ,12785151 ,2161 ,2629 ,5832452 ,101377 ,581996 ,64904370 ,65657 ,186132 ,65215336 ,87292 ,1065528 ,19271368 ,11900 ,18968 ,11035393 ,853 ,15174 ,3157096 ,265 ,693 ,255910 ,8808 ,13846 ,5740845 ,7685 ,7794 ,122432813 ,3965 ,6193 ,21728503 ,13 ,95 ,136660 ,5228 ,10487 ,2388565 ,8168 ,26243 ,87722851 ,5015 ,27607 ,86388631 ,8251 ,127422 ,79826341 
,　　その他の腎尿路系の疾患,728907 ,1358262 ,728907 ,14683140 ,1801365000 ,693690 ,1007397 ,144928741 ,292159 ,411358 ,65012494 ,39863 ,61100 ,103816743 ,539547 ,2854205 ,251116469 ,52017 ,143383 ,56365052 ,613593 ,9239444 ,182342711 ,43767 ,136275 ,108896102 ,10512 ,246532 ,51794886 ,4775 ,11788 ,3674444 ,46246 ,181856 ,56286265 ,4521 ,6487 ,51983596 ,4446 ,8099 ,9366077 ,185 ,1490 ,3560542 ,21612 ,43503 ,9536599 ,20372 ,248279 ,440363041 ,8561 ,81897 ,262105935 ,19590 ,887236 ,544508161 
,　　前立腺肥大（症）,488905 ,642000 ,488905 ,10383382 ,685806881 ,480166 ,610671 ,68229369 ,160192 ,200387 ,25869118 ,11510 ,15584 ,27912731 ,351926 ,1674752 ,155602791 ,25622 ,69214 ,33972658 ,440284 ,7646158 ,139039622 ,12454 ,23698 ,41638047 ,1354 ,29404 ,6434256 ,1094 ,2317 ,704755 ,17417 ,34694 ,11091393 ,3061 ,3538 ,51883871 ,3144 ,5100 ,11396319 ,108 ,1281 ,3387464 ,13450 ,25753 ,6726140 ,4867 ,25284 ,57488709 ,2250 ,15501 ,44371412 ,5051 ,107110 ,69033109 
,　　その他の男性生殖器の疾患,108496 ,156036 ,108496 ,1344345 ,165178428 ,104236 ,137496 ,24478844 ,28359 ,36525 ,5677971 ,1087 ,1463 ,3208681 ,73082 ,339676 ,31729242 ,4710 ,11836 ,5465040 ,70275 ,765270 ,15701406 ,3850 ,7298 ,7437713 ,320 ,5291 ,1164019 ,231 ,344 ,112735 ,10452 ,14313 ,4185520 ,1208 ,1360 ,6532440 ,972 ,1409 ,4310694 ,18 ,127 ,336410 ,2197 ,4192 ,1114755 ,2458 ,5733 ,16185772 ,1925 ,12011 ,37537179 ,2526 ,43359 ,28581759 
,　　月経障害及び閉経周辺期障害,322642 ,487913 ,322642 ,5560527 ,275765943 ,318973 ,483870 ,66635560 ,99788 ,112476 ,6284135 ,527 ,603 ,2099208 ,94762 ,408373 ,70496500 ,3494 ,8378 ,4185897 ,245361 ,4280994 ,83828074 ,45546 ,150762 ,13043652 ,205 ,1748 ,350190 ,6323 ,8457 ,2269160 ,33646 ,44285 ,5852767 ,803 ,936 ,3528941 ,566 ,1011 ,726646 ,8 ,82 ,121400 ,25933 ,56171 ,9852309 ,356 ,1390 ,3312148 ,214 ,964 ,3179167 ,342 ,5551 ,3527174 
,　　乳房及びその他の女性生殖器の疾患,733981 ,1140410 ,733981 ,7411554 ,1257940009 ,694965 ,1040056 ,146147878 ,153800 ,184722 ,18590113 ,3506 ,4097 ,12186502 ,498784 ,1787555 ,344305577 ,98811 ,215070 ,81859761 ,300786 ,3407422 ,84406348 ,51196 ,103885 ,47769733 ,703 ,9504 ,2011488 ,1578 ,2241 ,673591 ,161605 ,202013 ,21989145 ,17678 ,19069 ,183210097 ,7538 ,12624 ,43152647 ,88 ,862 ,1585625 ,168537 ,359561 ,81220738 ,10711 ,24012 ,65412299 ,6834 ,38819 ,123418134 ,10428 ,138239 ,87937061 
,ⅩⅤ　妊娠，分娩及び産じょく,279125 ,782938 ,279125 ,3575697 ,1703509422 ,170655 ,273839 ,37684989 ,90625 ,125301 ,20460108 ,4448 ,4347 ,7950900 ,192679 ,770577 ,150542689 ,10248 ,20456 ,4104953 ,145887 ,1785554 ,24049904 ,37628 ,99839 ,28309974 ,115 ,844 ,205705 ,492 ,742 ,238545 ,42579 ,62198 ,4842240 ,27350 ,32594 ,382845482 ,18644 ,33657 ,42439843 ,76 ,91 ,23760 ,18190 ,31626 ,13082293 ,45682 ,107064 ,277238443 ,28236 ,226540 ,708950809 ,44505 ,830235 ,526907599 
,　　流　　産,28038 ,56214 ,28038 ,298409 ,103679874 ,23006 ,44948 ,6141409 ,6394 ,8235 ,1101793 ,76 ,72 ,177767 ,21076 ,109998 ,19092746 ,1216 ,2344 ,649147 ,11705 ,87091 ,1351781 ,3315 ,3104 ,517177 ,5 ,27 ,5530 ,25 ,30 ,9640 ,3559 ,4444 ,242054 ,6481 ,6764 ,27198371 ,5398 ,6019 ,7458759 ,8 ,9 ,2530 ,8175 ,14387 ,7083353 ,5185 ,4039 ,8009483 ,2374 ,6891 ,24574904 ,2850 ,13129 ,8395918 
,　　妊娠高血圧症候群,6067 ,23837 ,6067 ,103894 ,93352888 ,2641 ,3477 ,489403 ,2460 ,3867 ,884561 ,72 ,67 ,124084 ,3160 ,20976 ,2005036 ,317 ,534 ,121934 ,3523 ,53485 ,597192 ,709 ,2026 ,656030 ,3 ,31 ,8340 ,18 ,31 ,7170 ,530 ,926 ,102772 ,885 ,1118 ,20533123 ,685 ,1461 ,2106479 ,6 ,6 ,1100 ,380 ,466 ,259650 ,1932 ,3631 ,22880452 ,1459 ,11783 ,42575472 ,1972 ,38924 ,26096506 
,　　その他の妊娠，分娩及び産じょく,245020 ,702887 ,245020 ,3173394 ,1506476660 ,145008 ,225414 ,31054177 ,81771 ,113199 ,18473754 ,4300 ,4208 ,7649049 ,168443 ,639603 ,129444907 ,8715 ,17578 ,3333872 ,130659 ,1644978 ,22100931 ,33604 ,94709 ,27136767 ,107 ,786 ,191835 ,449 ,681 ,221735 ,38490 ,56828 ,4497414 ,19984 ,24712 ,335113988 ,12561 ,26177 ,32874605 ,62 ,76 ,20130 ,9635 ,16773 ,5739290 ,38565 ,99394 ,246348508 ,24403 ,207866 ,641800433 ,39683 ,778182 ,492415175 
,ⅩⅥ　周産期に発生した病態,65366 ,253447 ,65366 ,679391 ,1119889582 ,41813 ,54247 ,10971998 ,21788 ,28311 ,7660171 ,1606 ,2697 ,12233192 ,30304 ,153296 ,17944124 ,3714 ,7150 ,1808714 ,16942 ,179099 ,3011475 ,3023 ,8665 ,7061220 ,3209 ,21167 ,5029943 ,81 ,100 ,45850 ,8921 ,35027 ,9892325 ,2585 ,3649 ,31708111 ,646 ,1050 ,5233863 ,65 ,111 ,12430 ,241 ,361 ,183166 ,20331 ,41974 ,116148099 ,14285 ,139679 ,890542924 ,16979 ,340480 ,215834845 
,　　妊娠及び胎児発育に関連する障害,29146 ,128205 ,29146 ,335419 ,686061991 ,21146 ,27611 ,4512114 ,10462 ,13466 ,3190348 ,852 ,1156 ,7266961 ,12376 ,57404 ,9016555 ,2033 ,4060 ,1043490 ,9507 ,105779 ,1715600 ,1245 ,4561 ,5030612 ,2134 ,12879 ,3103600 ,51 ,63 ,29075 ,2246 ,9484 ,3104849 ,783 ,1361 ,12804109 ,222 ,349 ,2202370 ,50 ,89 ,9900 ,125 ,192 ,94894 ,5982 ,13859 ,53872219 ,5587 ,82053 ,578782711 ,5744 ,187528 ,120506512 
,　　その他の周産期に発生した病態,36220 ,125242 ,36220 ,343972 ,433827591 ,20667 ,26636 ,6459884 ,11326 ,14845 ,4469823 ,754 ,1541 ,4966231 ,17928 ,95892 ,8927569 ,1681 ,3090 ,765224 ,7435 ,73320 ,1295875 ,1778 ,4104 ,2030608 ,1075 ,8288 ,1926343 ,30 ,37 ,16775 ,6675 ,25543 ,6787476 ,1802 ,2288 ,18904002 ,424 ,701 ,3031493 ,15 ,22 ,2530 ,116 ,169 ,88272 ,14349 ,28115 ,62275880 ,8698 ,57626 ,311760213 ,11235 ,152952 ,95328333 
,ⅩⅦ　先天奇形，変形及び染色体異常,212487 ,409875 ,212487 ,2687850 ,1152711702 ,194442 ,278441 ,36664278 ,67911 ,87508 ,19984578 ,7727 ,12566 ,63957002 ,83506 ,459362 ,78265662 ,45630 ,111105 ,36807466 ,104307 ,1344673 ,41412129 ,6668 ,18630 ,16088084 ,17574 ,126097 ,28420452 ,1633 ,3353 ,1227638 ,23623 ,98925 ,58483681 ,5242 ,8935 ,272287400 ,5127 ,9257 ,60498965 ,244 ,458 ,911020 ,2630 ,4561 ,1947159 ,9283 ,72294 ,164560737 ,7000 ,51319 ,271196089 ,9226 ,285639 ,182195975 
,　　心臓の先天奇形,27309 ,51267 ,27309 ,391032 ,324088956 ,23873 ,29188 ,3817898 ,12197 ,15035 ,3810295 ,1469 ,1826 ,11480702 ,19505 ,87295 ,27845694 ,10051 ,21864 ,4069234 ,11363 ,198662 ,6141330 ,728 ,2693 ,3769757 ,597 ,4450 ,1022123 ,61 ,113 ,33620 ,841 ,4465 ,6725850 ,693 ,2512 ,119136739 ,964 ,1962 ,20180900 ,149 ,250 ,43010 ,80 ,126 ,65348 ,1697 ,5368 ,18339190 ,1694 ,15140 ,97614860 ,1793 ,42768 ,27961697 
,　　その他の先天奇形，変形及び染色体異常,185178 ,358608 ,185178 ,2296818 ,828622746 ,170569 ,249253 ,32846380 ,55714 ,72473 ,16174283 ,6258 ,10740 ,52476300 ,64001 ,372067 ,50419968 ,35579 ,89241 ,32738232 ,92944 ,1146011 ,35270799 ,5940 ,15937 ,12318327 ,16977 ,121647 ,27398329 ,1572 ,3240 ,1194018 ,22782 ,94460 ,51757831 ,4549 ,6423 ,153150661 ,4163 ,7295 ,40318065 ,95 ,208 ,868010 ,2550 ,4435 ,1881811 ,7586 ,66926 ,146221547 ,5306 ,36179 ,173581229 ,7433 ,242871 ,154234278 
,ⅩⅧ　症状，徴候等で他に分類されないもの,1847564 ,3426499 ,1847564 ,30718412 ,4155468536 ,1746043 ,2700060 ,422166671 ,758255 ,1068541 ,203698876 ,45643 ,87924 ,167316091 ,754416 ,4930834 ,592094148 ,356805 ,933150 ,451838207 ,1294351 ,18275792 ,348716555 ,192396 ,491437 ,330514787 ,46219 ,578163 ,115951290 ,40514 ,67259 ,22691976 ,188883 ,806400 ,172190909 ,21079 ,24685 ,127691698 ,21011 ,40185 ,28254187 ,531 ,4764 ,10937773 ,37076 ,78416 ,24633039 ,38665 ,614126 ,1071619577 ,2834 ,16453 ,64214887 ,35144 ,1660464 ,968907296 
,　　症状，徴候等で他に分類されないもの,1847564 ,3426499 ,1847564 ,30718412 ,4155468536 ,1746043 ,2700060 ,422166671 ,758255 ,1068541 ,203698876 ,45643 ,87924 ,167316091 ,754416 ,4930834 ,592094148 ,356805 ,933150 ,451838207 ,1294351 ,18275792 ,348716555 ,192396 ,491437 ,330514787 ,46219 ,578163 ,115951290 ,40514 ,67259 ,22691976 ,188883 ,806400 ,172190909 ,21079 ,24685 ,127691698 ,21011 ,40185 ,28254187 ,531 ,4764 ,10937773 ,37076 ,78416 ,24633039 ,38665 ,614126 ,1071619577 ,2834 ,16453 ,64214887 ,35144 ,1660464 ,968907296 
,ⅩⅨ　損傷，中毒及びその他の外因の影響,2895164 ,8982889 ,2895164 ,47476277 ,15976884415 ,2659325 ,5565456 ,839586157 ,882871 ,1274666 ,248935116 ,57083 ,101725 ,180322547 ,477266 ,3592039 ,356026003 ,1370471 ,4149526 ,943907930 ,1799912 ,17568222 ,387500724 ,253415 ,719675 ,314222831 ,355285 ,8128847 ,1658590704 ,9799 ,26768 ,8425187 ,984325 ,2607611 ,643356435 ,217733 ,262225 ,2549816423 ,97462 ,169765 ,408902951 ,656 ,2349 ,3283546 ,7955 ,15463 ,7324757 ,203403 ,2278344 ,4467942507 ,95882 ,1012815 ,2956792079 ,204867 ,9756268 ,6109491216 
,　　骨　　折,765882 ,3721566 ,765882 ,21741498 ,9085929726 ,646177 ,1490478 ,182714265 ,244046 ,402592 ,94211374 ,28979 ,45922 ,77278401 ,144148 ,1426119 ,131036404 ,466951 ,1650943 ,339162264 ,431685 ,7818726 ,140634339 ,91852 ,314992 ,154067128 ,175761 ,5599709 ,1116202856 ,3406 ,9692 ,2776525 ,197360 ,584051 ,202806512 ,68376 ,99626 ,1534774151 ,52087 ,89315 ,275430324 ,300 ,696 ,739930 ,1851 ,3353 ,1355429 ,125945 ,1529785 ,3025631833 ,57232 ,675175 ,1806188362 ,128178 ,6671306 ,4207379295 
,　　頭蓋内損傷及び内臓の損傷,47558 ,313899 ,47558 ,1720142 ,1063475674 ,35020 ,50426 ,9608129 ,19364 ,32455 ,9340920 ,1914 ,5123 ,6936908 ,12141 ,118597 ,11037862 ,26639 ,63627 ,38197667 ,20216 ,526493 ,8773971 ,3363 ,16945 ,9127172 ,11456 ,570669 ,142797489 ,527 ,1491 ,442040 ,5393 ,58570 ,14399696 ,5226 ,8070 ,90050279 ,1510 ,1976 ,12122616 ,71 ,137 ,97380 ,317 ,512 ,215544 ,16330 ,169058 ,332258549 ,9804 ,95950 ,377797079 ,15937 ,760760 ,447787124 
,　　熱傷及び腐食,56350 ,139070 ,56350 ,534363 ,127927919 ,54042 ,118706 ,19614362 ,16369 ,23912 ,3875266 ,562 ,1074 ,1643086 ,4605 ,30274 ,2928774 ,1153 ,3331 ,926652 ,44998 ,218202 ,7056635 ,1405 ,4898 ,2755888 ,800 ,15366 ,2972089 ,154 ,353 ,95300 ,40772 ,97208 ,17291166 ,487 ,1017 ,10655804 ,469 ,1169 ,2199394 ,12 ,72 ,67690 ,90 ,179 ,84996 ,1112 ,8997 ,18368060 ,755 ,9603 ,37318759 ,1152 ,52883 ,33966627 
,　　中　　毒,134767 ,180952 ,134767 ,800966 ,142498496 ,127747 ,159683 ,40874422 ,39698 ,52521 ,9651605 ,622 ,838 ,1309774 ,10725 ,58163 ,6162682 ,2187 ,4738 ,1841703 ,120318 ,445671 ,13431576 ,6046 ,9564 ,4103559 ,424 ,6752 ,1497929 ,1100 ,2461 ,717710 ,36229 ,45552 ,5144804 ,466 ,502 ,977683 ,196 ,389 ,168420 ,5 ,64 ,86340 ,208 ,439 ,191096 ,2205 ,6582 ,15149738 ,1821 ,7040 ,41189391 ,1859 ,29640 ,18997473 
