平成２６年,社会医療診療行為別調査,平成２６年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１４表　医科診療（入院－１総数）　件数・診療実日数・実施件数・回数・点数，一般医療－後期医療、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲：円),,
　　くも膜下出血,9795,228839,9795,1006723,911986290,1571,1572,675974,4207,8581,3161217,82,104,136214,2782,51479,4078373,4052,12246,9175177,2551,188347,2365502,1295,13279,7988931,6822,430654,105852151,68,536,109765,2317,64893,10929844,1714,3572,201618304,1353,2427,23340607,50,84,12760,90,113,50490,9393,180182,310559035,2905,48587,231927730,9023,688942,408915898
　　脳内出血,36233,845748,36233,4356400,2466883576,5270,5273,2152810,12788,25558,9429774,392,421,507078,8055,178008,13619045,11839,37300,17124771,9781,680866,8981811,4115,46731,17662459,27446,2332638,574934166,254,1570,304790,7631,197276,41114074,1872,3365,66529725,924,1463,12139570,38,94,332020,267,356,154690,35329,714405,1247064352,8668,131048,454826150,34158,2599115,1545246150
　　脳　梗　塞,92404,1983646,92404,10167386,5665415005,15341,15352,5848112,37121,81319,28078030,1203,1154,2067851,24027,563456,46018831,34245,106996,53908689,33333,2311530,36236298,14609,177920,97779290,67011,4521600,1123023844,968,6260,1225675,18139,390412,79811718,3341,5841,99029669,864,1498,7529308,61,159,249336,1001,1519,596244,89876,1617728,2732113169,27449,364478,1351468284,88293,5982386,3546020134
　　脳動脈硬化（症）,161,2575,161,15971,5926708,34,34,10488,84,171,54651,6,4,5292,115,2994,344157,104,517,198470,104,6525,91097,72,555,233449,60,1992,447116,6,39,6480,40,548,48916,10,11,405156,5,16,8486,-,-,-,6,14,6690,159,2484,3820265,9,67,245995,156,7505,4581932
　　その他の脳血管疾患,15346,216847,15346,1331303,994786154,2388,2390,893338,8613,17741,5944371,173,168,347053,5373,113033,10383716,9198,26321,24317598,7841,483088,7293734,3462,28949,18276227,7074,383496,96055590,153,1124,228555,3212,50136,11329314,3955,4953,281863749,2078,2835,22485226,27,60,300690,359,476,223280,14459,153509,266800846,7802,63013,248074538,14920,607204,379770380
　　動脈硬化（症）,6683,81746,6683,501141,522455415,362,362,111638,4631,9975,3283590,190,172,404190,2868,51521,9652353,2153,6345,3280866,3747,264732,5446324,1350,11044,4744379,1958,43836,9408305,61,337,65295,2273,23592,22143167,3489,5799,245505079,1032,1633,8098010,50,94,21850,170,230,101550,6015,35128,59335533,4749,46291,150763909,6567,217770,147148964
　　痔　核,6457,42692,6457,288423,109620333,242,242,75514,2640,4773,1999725,18,15,61394,3268,26192,3502559,922,3415,846596,5750,172281,2463333,2992,9128,3473443,278,12741,2671541,82,915,177020,2811,14455,1619374,3237,3672,22160855,2504,3419,3721973,11,41,98200,613,1135,596100,5266,30692,52728548,1045,5307,13429104,4972,88342,55821252
　　低血圧（症）,724,8345,724,49859,24615584,129,129,54088,371,779,304315,18,13,57695,329,5022,531346,312,897,328874,389,26096,487748,200,1169,437766,185,4818,1045582,49,431,82290,190,1967,783076,86,125,1805407,61,93,363138,1,17,39330,24,60,37350,694,6382,11049108,336,1861,7208267,687,22263,14224728
　　その他の循環器系の疾患,22531,271929,22531,1507683,1981604053,3386,3388,1373551,15159,33552,10732295,472,510,1460547,9452,137840,20463407,9519,25505,10584836,12635,723455,12479001,3976,28006,15544863,7681,200706,47010427,337,1410,335455,4259,50041,22427294,9118,21937,848005349,4919,9099,80258200,488,1017,575320,1319,1632,836158,20480,100030,210244638,16006,169419,699000835,21257,688020,459992892
Ⅹ　呼吸器系の疾患,187121,2654631,187121,14387209,8128068293,40120,40145,16250511,98135,196169,63317787,7075,7294,41509832,93950,1988507,165677948,84496,336295,95834277,111228,5815547,99521156,57426,630442,280756400,60171,1500455,312122969,2586,16857,3358520,56481,1142060,217377329,16297,34014,324312301,8643,16634,79085035,400,1263,1554328,13133,18542,7383009,175033,1635985,2938914149,100610,1006588,3481094128,166665,6334436,3980761210
　　急性鼻咽頭炎［かぜ］<感冒>,900,11769,900,73268,23743159,137,137,62854,329,659,254563,15,15,45003,428,6084,506645,205,910,252101,718,43427,646953,277,1653,1031617,161,7076,1487994,100,947,186535,215,1683,466122,92,125,2408054,73,173,291517,1,1,3300,14,33,19960,694,9558,12835477,198,787,3244175,670,28543,18033578
　　急性咽頭炎及び急性扁桃炎,4863,35928,4863,193025,113471255,1986,1986,838317,2307,3803,1251472,23,24,110616,1908,24195,2405721,1044,3258,894228,3499,97940,1682655,1140,6667,3579516,275,10629,2190373,144,1681,316975,559,6735,1274649,284,542,5648440,212,430,1458297,11,50,64470,150,229,122970,4356,20071,33354303,3250,14783,58276400,4411,83360,53693446
　　その他の急性上気道感染症,4410,35559,4410,196331,100563656,1663,1663,773641,1948,3389,1092549,48,44,230313,1918,19511,2283114,1001,2719,798432,3038,107527,1806253,940,5439,2142738,348,11748,2374679,170,2064,405655,618,7106,1424620,177,241,2734696,113,257,557811,3,5,102520,81,154,86540,3951,22281,35892194,2779,12170,47857699,3665,82004,52512848
　　肺　　炎,72593,1034787,72593,6425708,3029943407,16177,16186,6343296,37028,74765,23418207,2417,2428,12604793,41098,1081531,84751639,40539,186163,53350557,47012,2522463,41138786,30344,354823,162170706,23035,570574,118610091,706,3533,705030,27718,565513,87963628,3394,7993,36391095,447,721,2189321,131,402,399268,3210,5141,1475381,69258,712348,1271647880,33014,320957,1126708106,65122,2393402,1525045402
　　急性気管支炎及び急性細気管支炎,8888,75828,8888,415669,244658290,2720,2722,1266997,4079,6965,2189485,156,156,865037,2881,43323,3734208,2324,6722,1893210,6448,215292,3168658,2095,13387,4605045,1095,26154,5604581,110,931,165015,1523,24231,4179214,196,335,4024439,112,187,546737,9,53,105280,116,202,86380,7941,41917,78437796,5912,33083,133784153,7586,175539,112484926
　　アレルギ－性鼻炎,1192,15480,1192,103920,42156291,51,51,18217,476,1056,506729,47,48,120992,593,8103,973461,251,1364,398418,916,60658,1165025,414,2169,1710056,230,9640,2048008,128,1304,262300,394,4112,1017096,236,642,10029554,202,364,1586924,4,10,81640,58,118,65090,1042,13764,20709114,98,517,1462512,968,38489,24570292
　　慢性副鼻腔炎,2607,19232,2607,110099,159067450,63,63,22036,1993,4124,1550308,17,12,37258,932,6082,1123541,304,1079,387155,1925,62051,1024140,399,1422,1405325,98,2808,583402,27,210,38835,419,3580,638580,1915,5016,86525787,1825,3063,15870637,3,13,17150,1376,1565,914970,2366,6494,12027834,1987,12517,36900492,2535,45151,29499596
　　急性又は慢性と明示されない気管支炎,1298,21817,1298,125443,45655231,154,154,53743,525,1091,396693,29,33,150118,802,15985,1293237,613,2746,756280,887,59165,914774,623,5093,2041645,347,8618,1767551,61,630,116635,551,10180,1484700,100,141,2354370,57,107,382249,-,-,-,47,114,55570,1218,20336,30695771,140,1050,3191729,1155,61509,37475732
　　慢性閉塞性肺疾患,9501,201029,9501,879046,451575444,833,835,296178,4305,10008,3241735,887,934,6740476,4244,92367,7635417,3875,15652,4855086,4271,360761,6212456,2178,24054,10212878,4465,98321,19490188,151,1122,205825,3208,73089,18488074,286,521,4686708,123,389,759371,7,74,72730,335,651,225910,9279,176057,289292101,2094,24208,79169082,9111,633401,366701560
　　喘　　息,11616,107841,11616,647244,331513885,2976,2977,1438779,6232,11591,3657893,212,196,1143717,4066,66212,5770442,3089,10462,2942748,8727,367985,6806558,2945,18989,7079924,1414,31231,6475950,129,1170,221055,2459,29206,4938180,170,303,2989010,112,217,487498,5,34,36100,235,416,156398,10388,63895,119712688,7179,42353,167660566,10821,277349,174675646
　　その他の呼吸器系の疾患,69253,1095361,69253,5217456,3585720225,13360,13371,5136453,38913,78718,25758153,3224,3404,19461509,35080,625114,55200523,31251,105220,29306062,33787,1918278,34954898,16071,196746,84776950,28703,723656,151490152,860,3265,734660,18817,416625,95502466,9447,18155,166520148,5367,10726,54954673,226,621,671870,7511,9919,4173840,64540,549264,1034308991,43959,544163,1822839214,60621,2515689,1586068184
ⅩⅠ　消化器系の疾患,189470,1935169,189470,10361615,7360301082,35151,35175,14267953,97316,195004,66313649,2578,2458,8597037,92670,1285425,167312713,73676,253203,84217510,106961,4968958,81478632,52323,394539,184845378,26865,721371,151644943,3361,25241,5147750,38039,399276,94934518,60476,97758,1122406156,28273,58407,234637055,986,2534,2218627,37258,55442,28676616,177502,1043540,2297722514,93289,822729,2815915153,169084,4059226,2641326670
　　う　蝕,6,64,6,396,182839,-,-,-,3,7,2295,-,-,-,3,55,8527,3,12,2805,5,186,2467,2,5,1356,2,29,5486,1,1,360,1,33,8501,1,1,7247,-,-,-,-,-,-,1,3,1870,6,54,106006,2,10,35919,6,151,100258
　　歯肉炎及び歯周疾患,145,3607,145,19318,7778028,10,10,3635,40,74,23255,2,2,2600,53,605,47359,29,88,23703,119,9869,186503,22,156,59614,92,1153,226962,17,164,33420,75,3579,506851,3,11,60657,-,-,-,-,-,-,-,-,-,143,3508,6262420,17,99,341049,145,10539,6847284
　　その他の歯及び歯の支持組織の障害,108,1591,108,7512,4042944,13,13,5936,48,96,34731,1,1,300,43,695,66193,35,168,34921,62,3588,48950,27,178,44398,23,660,141063,14,102,16820,24,375,97866,25,46,559043,17,45,156331,-,-,-,2,2,720,102,1284,1899684,38,259,935988,97,4488,2785404
　　胃潰瘍及び十二指腸潰瘍,12516,150678,12516,960056,519871480,3753,3753,1559822,7399,15451,4744821,160,151,516431,9134,116229,19692748,5424,19660,6276651,8971,499980,7527939,3946,33699,14293644,2442,66639,13867171,256,2055,415335,2500,32225,7718519,4895,14797,68600350,773,1667,7151005,253,499,306250,2707,3949,2002610,11993,90703,166738010,6575,58572,198453220,11201,335360,218062546
　　胃炎及び十二指腸炎,6396,74123,6396,480162,179948302,750,751,288031,2644,5506,2233583,97,80,287373,4306,57826,7522632,2555,12172,3642295,4762,246332,3741083,3067,18741,7092705,1133,36228,7351249,351,3623,728815,2185,22326,4590291,1344,1837,23740040,818,1288,3679070,7,81,91160,783,1697,938688,6113,67939,102165283,667,3735,11854980,5620,192529,118442964
　　アルコ－ル性肝疾患,2211,29400,2211,157948,88893222,478,479,170847,1334,2823,837387,67,62,164474,1198,18608,2102421,975,2109,909880,1265,87880,2079628,515,5167,1457718,350,7006,1494793,127,632,150515,270,2335,458107,538,1090,5139406,30,38,98449,15,31,9820,290,352,142550,2067,12247,22792157,1532,17089,50883706,2115,75966,52505080
　　慢性肝炎（アルコール性のものを除く）,720,12642,720,78466,23198096,45,45,14320,272,564,196936,10,9,28835,508,10385,1063141,372,1813,627079,487,39298,603471,409,4400,1433963,144,3872,784407,48,683,132970,255,4644,687658,53,96,788785,36,93,101678,-,-,-,66,145,78090,705,12392,16560567,3,27,95542,666,34498,21418828
　　肝硬変（アルコール性のものを除く）,3388,55638,3388,310256,158111369,272,272,88763,1907,4048,1280399,115,107,309186,1894,35071,3452895,1382,3879,1389641,1857,169451,4639580,928,10902,3777512,799,18266,3741940,90,598,120005,738,9093,2182650,1062,2135,11144980,50,73,213958,34,75,48730,559,694,267750,3107,29251,46983936,2057,26251,78468200,3257,150546,101193262
　　その他の肝疾患,8596,124785,8596,706920,357180491,1257,1257,445391,4595,9476,3223664,236,217,551876,5143,97801,9667890,3812,11525,4411838,5210,356437,7497144,2925,28492,10717889,1622,41979,8705446,541,4442,850375,2152,25998,5695314,1426,2635,26027396,392,797,2089368,36,133,120483,1168,1829,967218,8053,77985,122913601,4051,45917,153530878,8051,317412,209398660
　　胆石症及び胆のう炎,22996,258056,22996,1202003,1240520447,4568,4571,1851557,15867,33398,11605330,249,240,676147,9933,157523,17911637,10176,31674,11828966,12024,497052,6823017,4996,44207,19637047,3809,83323,17786923,175,885,203040,4318,48871,9867703,13310,16979,359175902,7132,15857,71740247,32,77,26860,7785,9562,4606883,21376,103486,201775213,17024,154248,504938001,21120,509264,336707358
　　膵疾患,5647,66846,5647,329120,272183451,1487,1490,634208,3543,7141,2082362,150,140,312811,3084,46666,5498499,3245,7355,3638454,3024,160915,2768633,1368,13531,6814451,673,14190,2952456,96,331,69045,677,7384,2416926,1177,1778,29598470,180,413,1440006,14,44,13730,699,1025,452740,5170,22756,44983770,4216,43954,168505321,4872,118016,80896666
　　その他の消化器系の疾患,126741,1157739,126741,6109458,4508390413,22518,22534,9205443,59664,116420,40048886,1491,1449,5747004,57371,743961,100278771,45668,162748,51431277,69175,2897970,45560217,34118,235061,119515081,15776,448026,94587047,1645,11725,2427050,24844,242413,60704132,36642,56353,597563880,18845,38136,147966943,595,1594,1601594,23198,36184,19217497,118667,621935,1564541867,57107,472568,1647872349,111934,2310457,1492968360
ⅩⅡ　皮膚及び皮下組織の疾患,34168,590566,34168,3232850,1487222158,4128,4134,1485908,15487,32778,11524832,882,845,2394961,15093,356753,27232208,11452,51394,14078226,22058,1463282,30847117,10249,109158,62385464,10817,345799,71491949,1625,14026,2742225,12792,254729,59091328,5410,9023,88631889,2809,4621,16827093,140,847,1488132,2000,3005,1641868,31773,466514,745790853,11154,115620,349574356,31623,1635345,1024753444
　　皮膚及び皮下組織の感染症,8663,105932,8663,559719,310056164,2029,2031,762879,4765,9676,3056022,268,254,798621,3225,64367,4850119,3205,8950,2719992,5577,272062,5204718,2178,16622,7956043,1898,45586,9562659,160,1128,207375,2076,30027,7298028,1302,1974,12235483,591,977,3544448,17,44,99920,464,597,291850,8014,58153,102168902,5336,47186,149339282,8313,286003,186609802
　　皮膚炎及び湿疹,9045,156503,9045,980831,366897000,768,769,267005,3604,7981,3124825,158,152,571031,4985,108577,8952325,3074,17291,4639984,7059,469743,10023131,3477,34999,19963777,2775,108718,22762392,691,6441,1250205,3831,70836,13423832,983,1641,27835016,686,1185,3684109,44,370,748086,468,938,541078,8205,143427,224771721,935,7697,24314904,7870,420583,264541328
　　その他の皮膚及び皮下組織の疾患,16460,328131,16460,1692300,810268994,1331,1334,456024,7118,15121,5343985,456,439,1025309,6883,183809,13429764,5173,25153,6718250,9422,721477,15619268,4594,57537,34465644,6144,191495,39166898,774,6457,1284645,6885,153866,38369468,3125,5408,48561390,1532,2459,9598536,79,433,640126,1068,1470,808940,15554,264934,418850230,4883,60737,175920170,15440,928759,573602314
ⅩⅢ　筋骨格系及び結合組織の疾患,110689,1777322,110689,10258972,6733040807,9257,9281,3269242,66404,161155,61201620,2234,2087,8331563,40313,710688,59269866,42269,176599,53822575,64461,4423854,71383821,26363,184207,97204755,71190,2402622,499763633,1863,13147,2708620,27055,281121,69572557,28761,56898,1903100198,30596,64696,307461667,315,843,868120,4540,6494,3279921,102192,1180692,1876725197,49582,583968,1715008774,107406,5127125,3238498624
　　炎症性多発性関節障害,8615,118162,8615,924079,385809783,815,819,283229,4918,10177,3481204,286,262,1497700,4106,78134,6867639,3561,15151,3972384,5873,554731,9489400,2796,15387,24872017,3916,107137,21855374,105,841,161500,1829,19552,3684072,947,2335,49035096,842,1638,6173299,19,45,27400,540,769,365935,7951,79895,124676942,3818,37147,129366385,8245,339089,214959156
　　関節症,21924,367992,21924,2094776,1895504230,576,576,182240,15650,42113,16989943,230,212,690321,6772,102522,7918659,7174,34408,7635699,12305,761049,10289746,4597,28775,8948570,19370,675473,141945237,224,1411,317280,5087,36250,6698016,9021,23105,865500290,8927,20800,96396664,69,147,110380,652,846,434990,20143,216229,346790183,11243,150724,384653734,21786,1072874,688766632
　　脊椎障害（脊椎症を含む）,26529,425131,26529,2462851,1606164645,1836,1838,599209,16401,39996,14964440,469,426,1448953,9317,157905,12265009,11652,45169,16761344,14458,1060233,16196413,5795,39407,14789534,18161,611237,131814930,265,1409,297940,6016,51928,16774210,6662,10653,449488635,8445,17532,95286421,44,120,229110,601,857,410118,24812,280779,437790085,12412,143273,397036674,26281,1260659,796524866
　　椎間板障害,7349,86215,7349,507750,359161510,1022,1023,363040,5312,13574,5673560,62,55,174405,2749,38374,2821242,3494,13702,5345759,4950,234144,3487940,1994,9083,2362209,4500,88725,19814099,50,257,52530,2047,11333,1737897,2736,3112,104561190,3940,8218,35746297,5,7,3960,169,240,121600,6899,49951,79714269,3783,35922,97180045,7284,230139,149400738
　　頚腕症候群,192,3349,192,19623,6058087,16,16,6252,70,153,61370,4,4,13231,106,1626,134062,80,342,103688,145,9956,155428,85,709,271769,72,2452,504632,18,183,38100,76,804,146919,15,24,426497,26,69,82470,-,-,-,8,18,10670,184,3214,3943462,8,53,159117,184,9977,6037726
　　腰痛症及び坐骨神経痛,6193,78153,6193,505769,168046025,922,938,361770,2591,5585,2037055,88,86,310515,3345,54877,4706136,2272,11602,3531396,5136,272017,4280871,2526,15773,5562298,1672,49293,10161221,325,3271,650935,2195,16084,3456181,862,1131,17179999,909,1776,2177635,10,46,144400,239,550,297410,5162,67972,100113912,694,4767,13065903,5054,209209,130955814
　　その他の脊柱障害,3044,42094,3044,246991,269745840,216,216,78112,1993,4798,1870231,72,59,372720,1116,16523,1374902,1366,5783,2139232,1774,112609,1696571,706,3979,1502575,1895,50474,10855078,38,253,63260,696,5213,955653,1013,2546,136911540,1184,2471,21036411,16,17,4400,46,70,36575,2817,23769,39385013,1644,18211,51462851,3006,116703,75954418
　　肩の傷害〈損傷〉,1013,19173,1013,107926,44366235,43,43,13691,477,1244,551929,24,24,74377,457,8247,672679,403,2125,580733,660,47257,951279,388,2651,1837462,682,22719,4542965,35,261,54755,353,3700,834429,168,247,5080402,190,429,1148637,4,33,138530,21,49,25620,982,18054,25834231,92,817,2023391,974,58992,35438460
　　骨の密度及び構造の障害,4459,79440,4459,487432,227698521,452,452,154594,2457,6207,2381288,206,194,1093989,1908,34321,2915774,1923,9763,2598640,2905,239153,3602449,1361,10830,4397279,2872,89032,18091786,95,800,158965,1428,14983,2859576,936,1816,45223700,923,1840,8062601,16,46,29020,145,257,130000,4173,59336,89186252,1440,18381,46778966,4289,229090,144810930
　　その他の筋骨格系及び結合組織の疾患,31371,557613,31371,2901775,1770485931,3359,3360,1227105,16535,37308,13190600,793,765,2655352,10437,218159,19593764,10344,38554,11153700,16255,1132705,21233724,6115,57613,32661042,18050,706080,140178311,708,4461,913355,7328,121274,32425604,6401,11929,229692849,5210,9923,41351232,132,382,180920,2119,2838,1447003,29069,381493,629290848,14448,174673,593281708,30303,1600393,995649884
ⅩⅣ　腎尿路生殖器系の疾患,94066,1265484,94066,7145431,4197323028,10936,10948,4189344,50208,104902,34922819,2681,2490,12701817,40653,857294,70313463,34128,115638,34454748,56602,3438380,59708979,25554,217756,82886203,21390,551605,113554205,1394,8639,1735175,36269,501581,485050609,27844,39882,507011279,16471,27360,86905684,311,753,668690,12342,16918,8257058,87548,833979,1375458503,47558,417045,1319200808,88342,3456078,2240116412
　　糸球体疾患及び腎尿細管間質性疾患,17492,203340,17492,1081809,670816100,3217,3218,1250652,10604,21659,6755104,530,500,1353102,7342,131724,12571080,6901,17242,5998107,10641,545414,9191100,3858,35019,15049742,3205,71354,15225316,263,1516,277405,3041,40301,9989398,3519,5297,49360117,1699,2751,8780864,40,81,69450,2247,2785,1318130,15986,84202,155250758,12664,118706,378373909,16749,521421,349903412
　　腎不全,30771,582937,30771,3432378,1904709072,2501,2511,824582,15544,35252,11224851,1304,1150,9269793,15277,395502,29728641,13731,46734,12880213,16924,1697839,31583676,8481,86128,30831362,10696,239594,47438308,421,1893,384850,22323,325007,453311897,7277,13977,128525409,1614,1628,5845192,183,373,155100,1587,2351,1073204,29159,428475,652885915,12570,153809,488486623,29683,1732737,1134433092
　　尿路結石症,7880,48800,7880,246474,257623003,1081,1081,470367,5141,9595,3177607,68,65,172328,2454,31669,2951413,2764,10624,2804394,4878,110719,1562338,2019,6928,2543200,407,9051,1909402,27,225,41600,1043,7372,1259870,5348,5571,106899299,2888,4646,15554628,7,15,20150,244,363,141690,7298,25213,46257447,5451,23337,71831219,7555,113402,71997618
　　その他の腎尿路系の疾患,18458,297976,18458,1743472,759620937,2602,2602,1028152,8797,18512,6241947,567,569,1352724,9616,225835,17385711,7896,32575,9797020,11707,772394,12558547,6461,69507,25923125,6225,200858,42392148,526,4048,813725,6480,111799,17349358,2351,4056,44818979,1556,2678,7363472,48,193,281350,1227,1902,810090,17739,236682,381853092,6701,59253,189638613,16989,796563,495939512
　　前立腺肥大（症）,5031,43222,5031,246171,173453865,166,166,55537,2700,5741,2083246,94,92,263874,1698,29675,3068870,896,4498,1482458,3188,121244,2108800,1239,6551,3023182,458,19743,4253658,62,412,98715,1117,7913,1290610,2215,2761,47360195,2218,3813,9592799,7,28,95820,2058,2756,1361270,4748,25761,54473027,2017,15017,42840898,4902,107569,69407102
　　その他の男性生殖器の疾患,2549,17524,2549,90653,65573540,490,490,190845,1428,2558,787271,66,62,143512,652,10330,922615,575,1302,492403,1684,47557,856033,463,2237,1026687,147,3631,794374,27,131,26740,342,2432,862711,883,1056,5310172,809,1245,3944037,6,7,1210,383,508,241310,2383,6515,16640140,1795,10560,33332265,2479,41241,27285264
　　月経障害及び閉経周辺期障害,314,2374,314,13386,7337932,71,71,30982,134,248,92549,3,4,11693,140,1381,213102,73,179,72263,217,7338,131304,93,449,108304,13,585,132605,20,153,31850,59,321,58982,99,166,1146661,72,100,319700,4,15,16750,79,123,55610,287,1678,2976526,156,575,1939028,275,5571,3549326
　　乳房及びその他の女性生殖器の疾患,11571,69311,11571,291088,358188579,808,809,338227,5860,11337,4560244,49,48,134791,3474,31178,3472031,1292,2484,927890,7363,135875,1717181,2940,10937,4380601,239,6789,1408394,48,261,60290,1864,6436,927783,6152,6998,123590447,5615,10499,35504992,16,41,28860,4517,6130,3255754,9948,25453,65121598,6204,35788,112758253,9710,137574,87601086
ⅩⅤ　妊娠，分娩及び産じょく,56171,404749,56171,1361801,1449052890,3186,3187,1246983,21229,36264,12888809,482,449,991257,24820,206694,24402272,2872,5846,903290,36247,586142,5355145,23321,84837,27769542,48,479,108856,156,312,68055,10478,18169,2166234,24113,28627,345467162,17532,32853,42738603,83,129,28380,8538,12219,6637358,45001,126750,301726246,27443,218503,676541705,43979,863671,548605410
　　流　　産,5864,12707,5864,81178,78028221,597,597,230669,1453,2151,667551,5,3,8166,2600,10047,1248068,286,376,98780,4958,34569,433484,2357,2256,337418,1,1,185,4,6,1110,688,184,25640,5321,5606,26305873,4639,5365,7628898,10,15,3300,4802,7342,3866660,5676,5161,10748080,2725,7489,26423865,3291,16060,10259100
　　妊娠高血圧症候群,2123,17152,2123,63505,84789672,261,261,99552,1083,1824,596863,24,24,44370,848,10406,937154,222,438,73099,1352,29576,213043,597,2044,704265,1,14,3845,15,22,4980,319,700,74972,860,1032,18159889,684,1555,2157408,2,7,880,327,377,218090,1846,4711,24784925,1375,10507,36716218,1901,38558,26042176
　　その他の妊娠，分娩及び産じょく,48184,374890,48184,1217118,1286234997,2328,2329,916762,18693,32289,11624395,453,422,938721,21372,186241,22217050,2364,5032,731411,29937,521997,4708618,20367,80537,26727859,46,464,104826,137,284,61965,9471,17285,2065622,17932,21989,301001400,12209,25933,32952297,71,107,24200,3409,4500,2552608,37479,116878,266193241,23343,200507,613401622,38787,809053,512304134
ⅩⅥ　周産期に発生した病態,23075,190645,23075,432616,1064091141,8710,8710,3612480,8162,11117,2622714,329,496,1123245,11275,77625,6894371,2114,4443,890012,4520,98427,1306155,2185,8037,2783551,568,6838,1673030,5,29,7360,6649,32384,9195792,2518,3553,33926702,670,1106,5726801,107,169,19140,203,270,158508,18988,47286,207650295,12899,129968,786478293,15641,319280,201942946
　　妊娠及び胎児発育に関連する障害,7100,99824,7100,202404,679568482,2988,2988,1234611,3637,5308,1283324,97,132,354842,2409,22128,2157945,1075,2223,452623,1851,51738,591403,791,4039,1463109,385,4383,1084970,2,18,3820,984,8999,3936566,823,1443,15508975,213,350,2187680,91,145,16060,98,125,77210,5853,17042,126508177,5375,80620,522699013,5511,179814,114928042
　　その他の周産期に発生した病態,15975,90821,15975,230212,384522659,5722,5722,2377869,4525,5809,1339390,232,364,768403,8866,55497,4736426,1039,2220,437389,2669,46689,714752,1394,3998,1320442,183,2455,588060,3,11,3540,5665,23385,5259226,1695,2110,18417727,457,756,3539121,16,24,3080,105,145,81298,13135,30244,81142118,7524,49348,263779280,10130,139466,87014904
ⅩⅦ　先天奇形，変形及び染色体異常,9474,115463,9474,576485,703334849,734,734,291108,3971,6729,2238435,226,257,1333808,2931,40123,9717056,2463,9274,3216059,4793,281949,4706586,1414,10121,7020382,1834,50050,11558114,123,1191,259030,1977,46509,12189065,3452,6497,219056578,3757,7003,51261880,246,478,2706270,913,1038,604618,8133,71221,165634886,5943,43067,211489399,8272,267260,173035616
　　心臓の先天奇形,1743,17068,1743,100382,206173670,172,172,67289,876,1446,414692,83,95,527175,858,9289,5555309,448,2219,492559,956,59423,1024117,341,2449,2478927,121,1605,393525,3,12,4050,223,3372,1361207,503,1866,91942895,713,1338,15816298,125,236,33880,29,32,18930,1391,6833,25334624,1234,9925,60706475,1451,33049,21676212
　　その他の先天奇形，変形及び染色体異常,7731,98395,7731,476103,497161179,562,562,223819,3095,5283,1823743,143,162,806633,2073,30834,4161747,2015,7055,2723500,3837,222526,3682469,1073,7672,4541455,1713,48445,11164589,120,1179,254980,1754,43137,10827858,2949,4631,127113683,3044,5665,35445582,121,242,2672390,884,1006,585688,6742,64388,140300262,4709,33142,150782924,6821,234211,151359404
ⅩⅧ　症状，徴候等で他に分類されないもの,42037,660654,42037,3985490,1588051262,6856,6861,2892688,16510,33231,11680382,792,764,2612531,26424,608345,53334789,20661,108478,36600482,26334,1664448,29560328,21273,192537,83042869,12657,405471,85541925,1087,9036,1953303,17714,288533,57637690,4369,7897,92407890,1991,3521,11114456,123,913,1888364,2014,4489,2009899,40325,635510,1058503137,2670,15197,57242637,36531,1717707,1043477544
　　症状，徴候等で他に分類されないもの,42037,660654,42037,3985490,1588051262,6856,6861,2892688,16510,33231,11680382,792,764,2612531,26424,608345,53334789,20661,108478,36600482,26334,1664448,29560328,21273,192537,83042869,12657,405471,85541925,1087,9036,1953303,17714,288533,57637690,4369,7897,92407890,1991,3521,11114456,123,913,1888364,2014,4489,2009899,40325,635510,1058503137,2670,15197,57242637,36531,1717707,1043477544
