ïΩê¨ÇQÇUîN,é–âÔà„ó√êfó√çsà◊ï í≤ç∏,ïΩê¨ÇQÇUîNÇUåéêRç∏ï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÊÅ@ÇPï\,à„â»êfó√ÅiëçêîÅjÅ@åèêîÅEêfó√é¿ì˙êîÅEâÒêîÅEì_êîÅCèùïaï™óﬁÅAàÍî à„ó√Å|å„ä˙à„ó√ÅEîNóÓäKãâÅAêfó√çsà◊ÅiëÂï™óﬁÅjï ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇPÅjÅuåèêîÅvÇÕÅAñæç◊èëÇÃêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇQÅjÅuâÒêîÅvÇÕÅAìñäYêfó√çsà◊Ç™é¿é{Ç≥ÇÍÇΩâÑÇ◊éZíËâÒêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇRÅjëçêîÇ…ÇÕÅAÅuó√ó{íSìñéËìñìôÅvÅAÅuçáéZñÚç‹óøÅvÅAÅuï‚ê≥ì_êîÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇSÅjëçêîÇ…ÇÕÅAì¸â@éûêHéñó√ó{ìôÇä‹Ç‹Ç»Ç¢ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇTÅjëçêîÇ…ÇÕÅAÅuá]á]Å@èùïaãyÇ—éÄñSÇÃäOàˆÅvÅAÅuá]á]áTÅ@åíçNèÛë‘Ç…âeãøÇãyÇ⁄Ç∑óvàˆãyÇ—ï€åíÉTÅ[ÉrÉXÇÃóòópÅvÅAÅuá]á]áUÅ@ì¡éÍñ⁄ìIópÉRÅ[ÉhÅvÅAÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,åèêî,êfó√é¿ì˙êî,ëçêî,,èâ   ÅE  çƒ êf,,à„ äw ä« óù ìô,,ç›Å@ëÓÅ@à„Å@ó√,,åüÅ@Å@Å@Å@Å@ç∏,,âÊÅ@ëúÅ@êfÅ@íf,,ìäÅ@Å@Å@Å@Å@ñÚ,,íçÅ@Å@Å@Å@Å@éÀ,,ÉäÉnÉrÉäÉeÅ[ÉVÉáÉì,,ê∏ê_â»êÍñÂó√ñ@,,èàÅ@Å@Å@Å@Å@íu,,éËÅ@Å@Å@Å@Å@èp,,ñÉÅ@Å@Å@Å@Å@êå,,ï˙ éÀ ê¸ é° ó√,,ïa  óù  êf  íf,,ì¸  â@  óø  ìô,,êfífåQï™óﬁÇ…ÇÊÇÈïÔäáï]âøìô,,ì¸â@éûêHéñó√ó{ìô(ï åfÅFâ~),
,35Å`39çŒ,33830,59253,566947,83713671,39736,5366901,14596,1799067,371,11622503,146192,14603051,5258,1984763,334790,7054494,10810,16688193,1205,264382,1359,507290,3723,1776812,1005,6553218,328,599798,123,108654,1615,485032,4052,6733974,1784,7535617,14481,8957206
,40Å`44çŒ,36340,60535,652470,89881100,53494,7218770,16042,2409792,504,11351213,175410,17136167,6715,2830596,372863,7978725,13915,16868468,965,203992,1500,514712,3296,2806331,858,4440701,175,357384,180,228458,2169,617382,2090,4510830,2294,10407460,10461,6871372
,45Å`49çŒ,38170,64197,732181,92080668,58737,7724120,19093,3056088,571,8129266,175761,17234496,6917,3013164,439016,9209318,15983,16108254,1580,333066,1450,477049,3729,3777948,955,5318873,149,353589,304,333430,2561,724700,3015,5527674,2336,10720760,13527,9100342
,50Å`54çŒ,26993,47074,571534,84344003,40827,4986514,16666,3073573,599,4375725,133017,13417078,6669,3144438,346820,7759583,9979,16857410,2700,618378,1146,365960,3821,4479755,964,4326307,192,279777,256,259082,1544,533375,3231,6034878,3074,13799557,15409,10396024
,55Å`59çŒ,19730,37955,511643,95467282,29937,3338112,14924,3199971,667,3754943,118321,12283127,7649,3528602,313634,8101581,6582,19122911,3405,732723,853,291985,4719,6535010,1356,7060761,144,396983,280,249672,1009,492313,4320,7894610,3841,18446395,20367,13730198
,60Å`64çŒ,27139,56306,758071,151214356,41969,4504718,22335,4913861,1078,4990638,173265,17808864,11734,5541475,463225,11727341,9702,29749504,6282,1349765,1125,359335,8592,11057555,2284,11091102,233,469961,386,530730,1184,599659,7869,14519702,6803,31969426,36582,24758566
,65Å`69çŒ,33068,71148,962795,183467641,52160,5457179,28378,6314033,1516,4526580,211928,21811434,14763,6807840,596165,15744974,12190,26563427,8950,1905315,1326,417908,10753,13332115,3109,16743754,280,719100,465,515640,1540,790506,9942,18254062,9325,43534961,47679,31642958
,70Å`74çŒ,37658,87134,1172572,233001042,61053,6385668,34221,7405098,1918,5003802,242070,24864078,17976,7970635,737549,16810574,16000,32738938,13203,2789414,1148,315770,13643,13846548,4416,22845753,516,994986,667,995882,1643,865458,13502,24767422,13011,64389828,64899,42804248
,75Å`79çŒ,40003,100892,1358848,252032053,64718,6851856,37890,7945269,2695,5392152,252018,25736273,20162,8170177,875237,17101848,21129,29167501,22433,4582375,1031,267495,17560,12815672,4985,23126174,743,1087943,493,661134,1726,881921,20368,35293378,15658,72945377,90302,59051352
,80Å`84çŒ,38026,104783,1392966,244840223,60637,6586084,38131,7759989,4269,7244505,233123,23349532,19104,6935865,915832,15712319,23670,22349377,26048,5400416,966,292070,20888,10995959,5393,20978722,894,1067547,372,325188,1499,752940,27452,46510761,14684,68550833,105838,68253014
,85çŒà»è„,41892,142544,1626500,310630955,58249,6657643,41348,8145405,10392,13338989,241056,22876001,22468,6946148,1059891,16402990,33922,15268690,43799,8890633,967,329275,31655,10348074,7570,26944454,958,993805,201,69540,1076,510387,53532,86198336,19403,86701244,182463,114633574
áWÅ@ì‡ï™îÂÅAâhó{ãyÇ—ë„é”éæä≥ ,ëçêî,6984661,11003691,197827546,13113059201,9837293,1152115888,7526998,1378385543,669961,1319857999,28462853,2640741685,1073616,362219452,145867189,2279995758,1182660,637393069,675395,134968527,123410,44885777,1146125,755200294,31553,311769318,73615,29063019,4511,7890507,131506,41728833,768041,1246203853,252306,767914107,2865274,1845250488
,àÍî à„ó√,5084396,7186764,131800328,8478719978,6798960,814907467,5242288,951593819,387802,908022995,20371126,1928020879,616648,222238337,96441930,1529261986,529611,430270820,238036,49212949,98728,35103416,520761,424583817,19910,221652156,29544,18167520,3520,6049155,109775,32750072,238035,419834247,153294,485013834,1041493,712568104
,å„ä˙à„ó√,1900265,3816927,66027218,4634339223,3038333,337208421,2284710,426791724,282159,411835004,8091727,712720806,456968,139981115,49425259,750733772,653049,207122249,437359,85755578,24682,9782361,625364,330616477,11643,90117162,44071,10895499,991,1841352,21731,8978761,530006,826369606,99012,282900273,1823781,1132682384
,00Å`04çŒ,23001,47066,244088,99934884,26049,5593898,17429,5705752,1183,9643821,87986,10849219,5812,1093496,82013,2280123,5222,4576483,2644,627848,10,4590,2828,907435,146,965921,103,208670,12,1320,12,5010,3865,15309737,8686,42158986,22160,14347054
,05Å`09çŒ,18889,28521,195687,99527786,24843,4070353,6235,1178312,4299,51031688,74159,8773611,4867,989691,69025,1994566,4722,11995284,2217,510500,84,33755,975,156288,28,114339,24,72549,3,4070,16,6220,1314,4438073,2871,14155093,7596,5006480
,10Å`14çŒ,25423,35834,284986,184971364,31916,4726321,7971,1371411,7154,125856983,107648,12941044,6117,1360982,110255,3295034,5008,18629558,2123,490438,359,163515,2130,439318,31,89265,24,104935,1,1529,31,10038,2370,6483949,1836,8987999,9036,6007986
,15Å`19çŒ,29605,41047,434390,92462395,38227,6341157,12080,1688273,3561,36489634,151380,18145601,4233,1413020,211174,3715458,4340,15346191,1502,343220,983,423970,2665,605450,64,486905,19,88254,18,22460,1184,210701,1790,3432408,1164,3656422,6476,4380534
,20Å`24çŒ,50258,69373,755677,91421480,64533,10709347,22707,2876151,3198,8762095,225236,28920571,4574,1845237,408633,6770879,6308,17374581,1285,290608,1968,668860,6331,647697,116,1299275,107,316956,51,70890,6579,1119681,2288,4258022,1760,5488256,10012,6802286
,25Å`29çŒ,80000,119264,1281834,133745775,110618,16410797,41099,5549052,5195,12777196,362034,46643310,6941,2808341,711552,12069255,12917,13761573,1865,415143,3717,1283975,9651,1759007,226,2936579,212,475411,111,142500,9379,1625026,3418,5968792,2893,9093555,15536,10552672
,30Å`34çŒ,113492,175485,2006640,191716378,163519,22372216,67213,9991833,8112,18649607,538788,66382326,11399,4485808,1158877,18567752,19373,16077678,2304,525601,5713,2009342,11967,4182385,455,5090877,425,817793,108,142540,9548,1804879,5059,8658914,3772,11935036,22162,15114390
,35Å`39çŒ,170413,252996,3339098,289030637,237330,30958929,122441,20248230,14196,30259761,799501,89511238,17569,6650625,2071996,34673186,23283,20945259,4971,1106225,8323,2979312,15143,9392384,673,6875364,562,965046,161,212736,9349,2009097,7248,12595946,6340,19570060,34807,24087330
,40Å`44çŒ,257082,361333,5564927,423786188,341874,43307770,215562,37651309,22224,44089286,1136948,115631590,25824,10029720,3723405,61294828,25852,24772543,7099,1548029,11752,4206461,22498,21440283,1009,11058909,1133,1275113,218,298820,10409,2451452,10712,18348448,8399,26086985,49100,34134802
,45Å`49çŒ,328776,452856,7726043,530371320,429671,53259062,305822,55050250,27314,51188784,1370774,131765242,31883,12418161,5441279,88398204,29666,26220269,10777,2324610,12096,4402608,28851,32611987,1230,14349360,1480,1355168,268,477946,10920,2710948,13665,22317258,10334,31316936,62670,43860698
,50Å`54çŒ,435121,593353,10818719,686633235,564411,68264189,441262,80402008,33453,61729358,1720997,158982822,43247,16222707,7871879,128594312,37410,31801963,14426,3082362,11650,4108399,37191,43571226,1546,18177492,2182,1395728,343,506340,8305,2511646,18201,30183646,12205,36956786,80954,56511418
,55Å`59çŒ,597287,807638,15435776,925799468,770553,91127980,635226,116371091,44200,81034906,2280651,205999047,59937,22315578,11462157,183647862,44877,38959354,22955,4843197,10877,3860251,52365,62601121,2102,24720744,2894,1636767,359,701800,7547,2853942,23858,39723150,15196,45085071,104051,72788816
,60Å`64çŒ,904786,1241546,24422871,1438210001,1180511,136938883,992208,182319084,66232,118805538,3500634,313312277,102527,36691074,18285833,290541214,70095,57449646,40186,8321339,12107,4420022,89215,100734761,3597,42877251,4348,2649179,645,1050546,10695,4419250,40444,67506549,23566,69696167,171470,119921232
,65Å`69çŒ,1052896,1492444,29711473,1732583591,1413059,161301149,1181806,218017065,78531,139593701,4113341,368857652,137602,50140283,22385245,349887538,100417,68138301,59613,12180802,11812,4195121,122379,124610187,4433,48487501,6167,3293166,681,1242848,12867,5440727,55366,93642426,28057,83212709,235828,158428558
,70Å`74çŒ,1037591,1595329,31245586,1818027329,1495659,168227811,1216685,225981001,79018,139560367,4120424,370457854,167109,58050544,23613577,364572453,153866,75494009,83326,16448544,9664,3196694,173923,122221620,4910,50463683,10705,4118871,545,1171970,13361,5760661,72354,122313945,30395,89672334,295020,194566478
,75Å`79çŒ,851710,1462688,27959827,1668505903,1321395,146939620,1024280,189682654,79570,132183599,3518805,314832468,167264,55318534,21166025,322317803,199437,73276110,113504,22068541,8703,3207767,196159,104143101,4311,37971464,14663,3888512,559,1064990,10956,4672560,103330,167518705,30831,89195964,391623,250904356
,80Å`84çŒ,591452,1169343,20974075,1369933705,969539,107782439,726259,133943407,78519,115635170,2531880,222944563,144081,44094503,15789448,239188420,214319,61271949,130815,25642716,6942,2812805,185454,75220393,3512,26742574,16171,3751269,236,458082,6853,2803650,140375,222576609,29620,84994418,497484,312407790
,85çŒà»è„,416879,1057575,15425849,1336397762,653586,73783967,490713,90358660,114002,142566505,1821667,155791250,132630,36291148,11304816,168186871,225548,61302318,173783,34198804,6650,2908330,186400,49955651,3164,19061815,12396,2649632,192,319120,3495,1313345,262384,400927276,34381,96651330,849289,515427608
áXÅ@ê∏ê_ãyÇ—çsìÆÇÃè·äQ,ëçêî,3145948,10903798,80539843,11830971601,4625484,430535325,1008591,145951730,116277,141391552,2858966,280488510,232355,100001533,57858771,1018678643,368840,186596879,554834,122207998,6046876,1989913468,708966,77155027,3441,22499032,10422,5235785,1003,2124976,7206,2703449,6126221,7274252547,10174,30985579,17825591,11694720348
,àÍî à„ó√,2646421,8130964,63879406,8493977717,4009305,372627673,813982,114819088,22392,39417931,2090852,209717862,133517,55347312,46713797,850828326,220354,142284342,363051,83118464,5035393,1698115540,362525,36692052,1821,12386285,6003,3677588,813,1722336,5403,1973818,4091879,4848587326,7007,22516485,11810834,7814745894
,å„ä˙à„ó√,499527,2772834,16660437,3336993884,616179,57907652,194609,31132642,93885,101973621,768114,70770648,98838,44654221,11144974,167850317,148486,44312537,191783,39089534,1011483,291797928,346441,40462975,1620,10112747,4419,1558197,190,402640,1803,729631,2034342,2425665221,3167,8469094,6014757,3879974454
,00Å`04çŒ,34241,61590,215324,49773103,56166,7982386,11576,4478352,272,963095,14296,2950510,1496,530592,30991,608348,586,410766,89005,20809932,7064,4261035,2104,487475,21,159953,42,89993,-,-,2,870,1631,5872581,32,166775,3645,2375872
,05Å`09çŒ,72665,108315,543534,80075073,105067,11886066,18049,5781761,278,2411857,32506,4745627,1757,575436,239667,7739102,407,304689,114608,26054288,26620,13585585,1878,313255,29,167164,39,165409,-,-,9,2770,2506,6043853,89,295916,5733,3738728
,10Å`14çŒ,65780,104233,665135,115442361,83545,8734788,15986,3918546,334,3165723,32984,4386664,1929,664155,437095,14288887,1060,905147,23635,5316643,46267,23124235,1986,417994,18,137048,30,139512,3,330,8,2410,19241,45952189,1001,4286699,48478,31449392
,15Å`19çŒ,63526,122837,825854,133080810,92325,9902389,11996,1483904,310,2099614,43678,5186392,2660,1010384,546462,12481626,2170,1141263,6668,1524277,86194,41948614,2958,438746,21,68206,27,96571,-,-,35,12928,30011,54471295,319,1212480,78583,51378122
,20Å`24çŒ,108421,230512,1699301,214262657,173969,18635974,26731,3181394,406,649398,79441,8797270,3949,1610037,1165406,24637294,5214,3011302,4123,962889,179963,64910428,3920,508822,32,169997,36,53365,-,-,71,21232,55652,85798101,328,1314651,148634,97586800
,25Å`29çŒ,167914,373430,2948210,340802446,276014,27010700,45706,5274621,513,810453,110024,11494393,5019,1892922,2102807,44836356,8196,6658082,3091,744632,293775,106259670,6463,619459,53,262673,111,61985,2,1720,132,38158,95797,133593882,396,1240076,262353,172379326
,30Å`34çŒ,212344,487672,4138992,458818282,342910,32374714,59605,6979913,800,1445561,135771,13790118,6183,2300094,3054585,62561525,11046,9965658,3379,892536,372243,133114618,8512,904013,77,621859,242,152590,13,15310,293,84480,142838,192306972,421,1301934,395539,260340562
,35Å`39çŒ,270165,638216,5725952,608095075,430799,39396169,76986,8943691,1105,1503675,171943,17150678,7740,2907400,4320226,85115326,15790,14473005,5371,1360068,474165,168862963,15105,1579728,113,661990,399,210996,24,38780,439,142562,205395,265066523,187,676274,572791,377176976
,40Å`44çŒ,314310,794132,7156352,774336231,494826,44343176,90775,10801351,1501,3483884,201940,19921738,9579,3640705,5438333,103583931,21254,17627906,7751,1904625,571604,200629350,21061,2354630,106,567221,504,234428,103,145006,486,155296,296084,363815988,327,1119747,838864,553539110
,45Å`49çŒ,281255,783840,6939433,791698872,437407,38709300,83722,10445113,1551,2818084,196960,19433061,10376,3978744,5269817,96225871,21784,15729952,8147,1963962,538292,185053578,25298,2272096,107,695793,593,300394,73,107770,664,216878,343940,412040308,581,1679909,983718,650563054
,50Å`54çŒ,241492,785294,6616738,827250245,367175,32356281,77015,10148784,1741,2526597,188783,18101059,10777,4166457,4985086,88055613,22463,14495534,9749,2227733,503318,166580430,32341,3104802,112,341222,656,248708,46,166920,587,200679,416246,483050772,517,1470733,1203889,796484880
,55Å`59çŒ,211568,845264,6558482,934111892,314896,27336604,72563,10130995,1962,2828151,193824,18167971,12668,5078690,4852888,83507864,22852,14902683,14322,3290474,498218,160226699,43380,4889858,183,1227480,614,259811,61,194580,527,199456,528981,600621679,386,1230228,1540583,1020667932
,60Å`64çŒ,219179,1109221,7670312,1262627181,314160,27214849,79652,12032986,2745,3776617,240877,22434478,17856,6965950,5501707,91838491,30375,17635483,22216,4878368,596897,182127950,68706,7405602,345,2522083,678,551163,146,334650,645,273828,792526,880743942,668,1853129,2320535,1539541550
,65Å`69çŒ,213293,1093780,7397133,1250361078,295898,26011131,79802,12320270,4051,5082375,257201,24100932,21160,9349008,5246659,84429715,33139,15627513,27152,5885003,551842,163316090,82589,8847396,288,2322380,842,490331,137,278000,735,299933,794676,889711080,822,2274997,2337423,1549227796
,70Å`74çŒ,200949,992089,6733596,1137104295,268933,24225589,76236,11667966,6557,8231278,256956,24551880,25794,12334303,4750535,72275966,36453,14689332,32592,7023009,468333,134190345,89961,8708610,417,3174033,1350,728477,223,458500,822,340396,717369,811904398,996,2583401,2106770,1393588432
,75Å`79çŒ,177407,843997,5751247,983355418,229520,21186982,67927,10325321,12107,13896527,242895,23293669,28771,14675088,4029384,59767378,37836,11703177,45122,9504959,362770,102749646,89583,10025161,357,2739119,1460,543914,81,185640,745,333268,601826,699993217,853,2409200,1771898,1165524692
,80Å`84çŒ,145012,700473,4578052,835975896,183626,17462567,57748,8862236,21488,22864466,215945,20359053,28960,14224604,3133701,46161101,39020,10903764,54109,11219196,259686,75622960,88070,10475128,427,2551421,1429,454106,74,110770,556,216535,492075,591566948,1110,2903169,1452128,940698854
,85çŒà»è„,146427,828903,4376196,1033800686,158248,15765660,56516,9174526,58556,62834197,242942,21623017,35681,14096964,2753422,40564249,59195,16411623,83794,16645404,209625,63349272,125051,13802252,735,4109390,1370,454032,17,87000,450,161770,589427,751698819,1141,2966261,1754027,1088458270
áYÅ@ê_åoånÇÃéæä≥,ëçêî,2282518,6218066,54296101,8837242258,3258222,369153824,1359696,246563147,467622,675917223,3415588,380875119,678511,351610990,37689627,710195105,521890,221188670,1975930,444881222,593479,214395291,1549555,299799441,13847,216143802,84451,86715847,1738,3634748,12290,4706064,2461098,3775703275,211934,834510801,7662141,4822160360
,àÍî à„ó√,1489419,3203609,30470394,4621834604,2096436,247546233,833108,153584818,224386,387727615,1928633,238132472,408008,216205456,21478767,401501698,205527,123697429,1066499,242912019,256548,86129617,851126,173531396,8390,151430205,45177,63068135,1390,2773328,8499,3221168,926809,1578721269,130618,550971688,2878288,1871545200
,å„ä˙à„ó√,793099,3014457,23825707,4215407654,1161786,121607591,526588,92978329,243236,288189608,1486955,142742647,270503,135405534,16210860,308693407,316363,97491241,909431,201969203,336931,128265674,698429,126268045,5457,64713597,39274,23647712,348,861420,3791,1484896,1534289,2196982006,81316,283539113,4783853,2950615160
,00Å`04çŒ,15054,43796,226704,122588079,24882,3597169,9276,2879436,1237,4624064,23989,4834605,3536,1533911,97614,1516141,1959,992672,37485,8930242,200,107345,7422,2000917,399,5727683,527,1998108,20,46900,71,42890,8896,30518793,9106,53224316,30896,20167718
,05Å`09çŒ,22555,52230,344553,98029558,35114,3875376,13627,3596592,1994,6174212,31528,5215617,5084,2015092,176806,3149894,1351,856336,47134,10996309,744,313630,13256,3144595,364,4889701,417,2475088,5,550,59,36880,13562,32008784,3414,19265284,34963,22783338
,10Å`14çŒ,30639,61659,465493,97487528,42135,4977419,18491,4494789,2063,6534602,35818,5302595,8231,4071244,281880,5269736,1511,816618,38708,8939103,2018,910025,14965,3253175,98,1529035,208,1412823,1,110,14,6220,16898,35582435,2447,14358487,42425,27728326
,15Å`19çŒ,34684,70069,573334,107208847,46471,5915064,20629,4821656,2483,6723003,45369,6369937,11007,5668147,356124,7504701,2246,2031259,37834,8699029,4784,2146920,22621,5156892,100,2297895,317,1568847,6,660,63,24660,20512,36513205,2754,11747544,54525,35517838
,20Å`24çŒ,41179,85476,732538,135396180,54608,7398177,23506,5116822,2931,7330195,55734,7719942,13160,6933863,474193,9964193,2937,2568386,33033,7477183,9583,3187920,32081,7379108,171,4106859,566,1652291,8,3040,133,47758,26091,47656149,3795,16826622,75911,49859854
,25Å`29çŒ,55697,111050,975836,161500225,72674,9891547,28993,5868598,4097,8449325,68502,9560399,15508,8299435,654628,13435698,3910,3148204,32167,7312969,14684,4988194,43101,9350710,160,3269470,714,1393583,-,-,202,64748,32581,59815740,3913,16635269,94942,62611826
,30Å`34çŒ,71829,142002,1228728,199897870,93232,12536165,34861,6701190,6976,13753283,81881,11172845,19237,10095908,843365,16966349,5564,4976882,33906,7677591,17464,5759783,44327,9092390,256,4838271,1190,2071125,-,-,314,97080,41305,72966331,4844,21153134,123805,81545584
,35Å`39çŒ,98204,189533,1713180,266058467,126956,16582963,45218,8355706,13096,23810538,105859,14407129,25416,13454808,1208266,23114148,8047,6984762,39889,8851519,21111,6858182,57052,10677520,387,7686551,2096,2974015,8,32270,434,139093,53174,94398506,6143,27689132,161549,106564798
,40Å`44çŒ,123500,238443,2146173,325326059,161355,20363119,55224,9899985,21233,36675799,128504,17215883,30887,16264197,1522116,29236105,10567,8042346,51291,11512053,24912,8224842,63087,11023003,386,7364405,2816,3592930,70,122770,673,220646,66014,115400625,6979,30121700,198186,130929148
,45Å`49çŒ,127760,254677,2312892,347103976,170184,20976219,57822,10194498,25034,41876870,136363,18052057,31068,16028685,1641138,30485984,13587,9108585,60964,13761864,21867,7189162,69823,11752937,446,7289084,3210,4389071,64,149770,717,218350,73039,125992510,7547,29611840,223095,147250952
,50Å`54çŒ,133149,271121,2561736,384363532,179644,21555621,63800,11027845,27676,45683469,151030,19166560,32762,16636440,1833780,33155816,16647,9973799,72605,16391115,19372,6276051,70758,13270389,726,11710790,4257,5716235,132,189950,880,298274,78650,136105414,8961,37163338,241638,159606194
,55Å`59çŒ,137165,288193,2786556,421211013,188136,21801341,72513,12731079,28657,46115835,167152,20357378,34781,17585032,1996430,35775173,18646,12720178,87269,19923310,20025,6605826,71746,17357221,880,15125668,4416,5924042,134,348484,810,304476,83851,141931656,11103,46510786,259138,171487928
,60Å`64çŒ,173405,392933,3974617,582423682,246859,27672907,104098,18523427,31260,51804004,241646,27642886,48406,25614932,2857184,52845665,27428,18675864,137951,31654349,26585,8605067,105547,26093056,1146,20094726,6010,8328710,190,523148,1146,458206,123077,199686211,16071,64034893,375155,249480308
,65Å`69çŒ,203789,492224,5027192,730373610,301564,32749007,133344,23682541,30424,51035792,314303,34125384,59817,32660320,3606024,67580085,38709,22131153,183519,41919809,34170,11317987,132512,33833230,1475,29422345,7590,10323723,376,677750,1445,619443,159665,253896816,22231,84255751,527718,331516550
,70Å`74çŒ,243086,657253,6447579,930659694,387071,40826345,167404,29666095,33362,52073620,403336,42713029,79151,43441890,4560301,85297162,63967,26003879,254332,57476850,49856,17158127,177736,37831080,1716,31554163,11736,11535835,399,724146,1660,692394,228924,355048264,26575,98502027,750113,467507846
,75Å`79çŒ,258371,814837,7377981,1146886135,413211,42917735,178077,31351412,42750,59113752,454043,46211431,87867,49069608,5142638,99469529,86216,28965959,301859,67866549,78385,28701851,200621,36100506,1718,27758349,14444,10150085,158,270620,1481,620321,343848,510251917,30616,107891484,1110086,689398344
,80Å`84çŒ,249306,906634,7545743,1251196206,378305,39577183,169666,29590933,64695,75278260,466082,44922699,86388,45139180,5205318,98838448,98273,28470584,281833,62538885,105697,40895674,201651,32283342,1773,19887864,14027,7033878,130,311220,1293,508109,445840,640457136,24708,85329900,1401005,865659714
,85çŒà»è„,263146,1145936,7855266,1529531597,335821,35940467,163147,28060543,127654,138860600,504449,45884743,86205,37098298,5231822,96590278,120325,34721204,244151,52952493,142022,55148705,221249,30199370,1646,11590943,9910,4175458,37,233360,895,306516,645171,887472783,20727,70189294,1956991,1202544094
áZÅ@ä·ãyÇ—ïtëÆäÌÇÃéæä≥,ëçêî,7876275,9821450,71505446,9080869466,9408981,1237317554,1864266,138001314,62916,104581918,37924360,2897994983,202429,75083796,20091890,904243408,185474,517939992,195294,40260384,17872,5828310,971374,143323541,181863,1579997847,60880,32977807,1553,2430778,10479,4609917,243415,1140298779,82052,255392543,936040,605678522
,àÍî à„ó√,5723635,6925145,46541368,5720629051,6721449,973086998,1235089,92220807,19800,49135589,25749993,1972833093,109613,44360886,11679493,552405399,83425,267879982,84046,17571205,12226,3981166,533096,75540248,110502,953446149,32313,21638234,1104,1712710,6979,3146758,102231,509871716,59712,181450240,443105,292990262
,å„ä˙à„ó√,2152640,2896305,24964078,3360240415,2687532,264230556,629177,45780507,43116,55446329,12174367,925161890,92816,30722910,8412397,351838009,102049,250060010,111248,22689179,5646,1847144,438278,67783293,71361,626551698,28567,11339573,449,718068,3500,1463159,141184,630427063,22340,73942303,492935,312688260
,00Å`04çŒ,203190,281673,1090035,164800762,236024,61687496,96372,24139769,263,1389513,436059,29915663,2884,699031,280276,15828874,1559,1167780,6279,1176620,16,7810,24813,1666137,1104,7736817,398,1746203,11,1210,20,9430,3191,14271724,736,3331308,8284,5332798
,05Å`09çŒ,449015,538914,3332981,303635958,537367,112176820,81557,3543048,320,2213415,2182180,139448800,2525,674228,474582,26909333,1158,736166,10247,1643805,146,62610,38818,1747476,1284,3935794,474,1862984,6,660,16,7260,1556,5351025,733,3319165,4219,2780924
,10Å`14çŒ,466508,534972,3300714,300101050,533868,110027581,65803,2120564,260,2481014,2257287,149700430,2077,732983,407807,22307275,1378,1916774,3488,579000,184,72505,25307,997340,1415,3141732,237,559357,15,1870,33,16420,1094,3665803,454,1744603,3309,2150522
,15Å`19çŒ,314358,346374,1427167,149692970,343659,52207299,34586,1003571,169,1587966,819545,67776054,1432,582806,210760,11921877,736,1655109,1635,347989,234,89665,10088,606378,1577,5723203,376,553298,-,-,55,27510,1440,3049187,864,2558664,5498,3587310
,20Å`24çŒ,272527,294724,1125631,122636810,291979,41581583,30155,886205,149,791650,602271,51069851,1213,541242,184648,10781741,653,1461884,1222,262540,297,93925,8266,596330,1965,8022177,417,525255,6,880,82,41808,1235,2785027,1057,3191534,6042,3945812
,25Å`29çŒ,269779,293766,1215453,127689710,291158,41988530,33412,1063752,271,733625,640590,52317319,1544,697476,230593,12591063,875,1696079,1158,259980,510,164794,9910,793128,2489,8703620,454,487979,-,-,118,50638,1241,2875398,1104,3261322,5896,3870082
,30Å`34çŒ,259669,289261,1336908,139673122,286095,41999376,37914,1356483,380,1230136,707641,56437884,1984,952029,279860,15057348,1256,2674684,1118,244707,732,266715,13440,1242837,2860,10038106,477,374915,2,31390,157,71746,1799,4132593,1185,3558232,7718,5046476
,35Å`39çŒ,273885,310620,1616947,169449978,306800,45404796,44869,1868137,686,1871107,856293,68353532,2572,1255519,374682,19237146,1959,3861857,1143,235723,931,306560,18475,1922230,3780,14479793,615,441819,35,44450,262,108994,2139,5057698,1699,4993531,10124,6718572
,40Å`44çŒ,293242,338973,2008798,218761793,333451,48584854,52922,2766094,1010,2219098,1082183,87106470,3788,1840521,495512,23862283,3100,6597841,2069,456734,1072,360970,21567,3433889,4721,23091514,885,664852,74,113310,363,156018,3446,9709747,2627,7790510,16115,10744318
,45Å`49çŒ,281833,333538,2217376,255648968,325838,46018956,55639,3475328,1196,2643093,1198507,96851464,4877,2370826,585630,27229283,3977,9235908,3723,845088,1245,413114,21343,4370186,5316,36554428,1137,827463,37,110100,457,189188,4665,13409374,3782,11022749,22468,14880036
,50Å`54çŒ,283968,345189,2556175,310489711,335782,45309942,64445,4504439,1613,3376025,1359911,109935857,6007,2796271,731664,33037520,5397,13218491,5036,1147612,1143,380209,25609,5617435,6712,56847616,1593,1105445,59,118910,604,258425,5694,18408462,4899,14360862,28014,18571654
